#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,1.0,1.0,372970.5,270864.0,6.870361432539063e-08,2.345373621535971e-07
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,5.0,2.0,81262.5,100212.0,2.997558608415789e-07,4.807027874752889e-07
2020-03-03,2.0,1.0,166361.5,268911.0,1.3680892765810682e-07,2.2577578252192913e-07
2020-03-04,3.0,1.0,116207.5,261023.5,2.286149742808154e-07,2.4775214479031745e-07
2020-03-05,1.0,1.0,358508.0,260198.0,7.921460305364374e-08,2.5158131435135544e-07
2020-03-06,1.0,0.0,358464.0,461443.0,7.750836043929878e-08,0.0
2020-03-07,1.0,0.0,371725.0,478031.5,7.447505882412521e-08,0.0
2020-03-08,2.0,1.0,175998.0,273138.0,1.456103114233255e-07,2.3053867436112546e-07
2020-03-09,3.0,1.0,121109.0,271664.5,2.1847864724430333e-07,2.3358651775993327e-07
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,2.0,2.0,170030.0,106189.5,1.4138469198249118e-07,4.7096445278051527e-07
2020-03-13,,,,,,
2020-03-14,6.0,3.0,78415.5,77454.0,3.5823834146156226e-07,6.388924501227312e-07
2020-03-15,4.0,3.0,109492.5,82325.5,2.174973342982965e-07,5.846099102682249e-07
2020-03-16,5.0,1.0,90931.0,319098.0,2.648280537653915e-07,1.950433249737764e-07
2020-03-17,10.0,1.0,56985.0,325576.5,5.243320756529389e-07,1.9106193176987355e-07
2020-03-18,10.0,5.0,57917.0,53759.0,4.901090840689503e-07,9.49222482372464e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
