#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,1.0,0.0,371087.0,478463.5,6.984896209680996e-08,0.0
2020-02-12,6.0,3.0,73220.0,71783.5,4.0934552200559656e-07,7.096335594225855e-07
2020-02-13,7.0,2.0,67358.5,106931.0,4.90238201839892e-07,4.603162510739754e-07
2020-02-14,8.0,2.0,60394.5,105943.5,5.661487490731085e-07,4.507422146677827e-07
2020-02-15,7.0,2.0,65925.0,104783.0,5.149578709287523e-07,4.833660451304374e-07
2020-02-16,3.0,2.0,122372.5,107482.5,2.216466633015777e-07,4.6733678087676584e-07
2020-02-17,6.0,2.0,71625.5,100884.5,4.41137741289478e-07,4.961612007894919e-07
2020-02-18,3.0,0.0,114068.5,444527.0,2.173991338673574e-07,0.0
2020-02-19,5.0,2.0,79924.5,99476.0,3.713604448244535e-07,5.115799969151726e-07
2020-02-20,1.0,1.0,359187.5,258902.5,7.077917753038568e-08,2.484898032209248e-07
2020-02-21,12.0,4.0,44086.5,54002.0,8.932249335403431e-07,9.930622190720079e-07
2020-02-22,12.0,4.0,44829.0,56224.0,9.051783442719108e-07,9.563957651751915e-07
2020-02-23,10.0,2.0,51957.0,109377.0,6.824000364128659e-07,4.17817929152285e-07
2020-02-24,10.0,3.0,51608.5,72052.5,6.870361432539065e-07,7.036120864607914e-07
2020-02-25,8.0,2.0,59544.0,106173.5,5.430736119988859e-07,4.3108130710749615e-07
2020-02-26,5.0,2.0,82315.0,102641.5,3.647243828899914e-07,4.882216526302942e-07
2020-02-27,8.0,2.0,60168.5,103270.5,5.613606877847282e-07,4.806609665082647e-07
2020-02-28,16.0,11.0,38105.5,24253.0,1.1232761134141e-06,2.625932564141984e-06
2020-02-29,21.0,7.0,32668.0,36319.5,1.4268685046907282e-06,1.5273454844576231e-06
2020-03-01,19.0,4.0,33805.0,56088.0,1.3846016843460869e-06,9.567496535370315e-07
2020-03-02,252.0,28.0,5767.5,11369.5,1.5107695386415579e-05,6.729839024654045e-06
2020-03-03,109.0,20.0,10261.0,14999.0,7.456086557366823e-06,4.515515650438581e-06
2020-03-04,115.0,16.0,9403.5,17348.5,8.763574014097924e-06,3.964034316645079e-06
2020-03-05,124.0,13.0,8792.0,20301.5,9.822610778651824e-06,3.2705570865676214e-06
2020-03-06,85.0,8.0,11560.5,30838.5,6.5882106373403965e-06,2.0084324034458684e-06
2020-03-07,17.0,7.0,35667.5,36105.0,1.2660760000101286e-06,1.6447364556540288e-06
2020-03-08,30.0,17.0,24798.5,17558.0,2.1841546713498824e-06,3.919157464139133e-06
2020-03-09,31.0,13.0,24534.0,21254.5,2.2576126881911343e-06,3.0366247308791334e-06
2020-03-10,19.0,13.0,33050.5,21212.0,1.4703482225695512e-06,3.143859377588394e-06
2020-03-11,50.0,14.0,17549.0,20375.0,3.8070092980110887e-06,3.3395217852510975e-06
2020-03-12,240.0,19.0,5649.0,16054.0,1.6966163037898943e-05,4.474162301414895e-06
2020-03-13,257.0,14.0,5573.5,20691.0,1.789477759367742e-05,3.224452775816236e-06
2020-03-14,482.0,37.0,3803.5,9930.5,2.877848009741217e-05,7.879673551513685e-06
2020-03-15,203.0,39.0,7595.5,10136.5,1.1037989715638547e-05,7.599928833486923e-06
2020-03-16,369.0,76.0,5063.0,5775.5,1.954431036788589e-05,1.4823292698007005e-05
2020-03-17,599.0,95.0,3607.5,4845.0,3.140749133161104e-05,1.8150883518137988e-05
2020-03-18,727.0,121.0,3306.0,3935.0,3.563093041181269e-05,2.297118407341363e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
