#covid_19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,1.0,1.0,364432.0,263731.0,7.294487657799827e-08,2.441108263151471e-07
2020-02-27,,,,,,
2020-02-28,10.0,0.0,52311.5,471840.5,7.020475708838126e-07,0.0
2020-02-29,6.0,1.0,75710.5,277359.5,4.0767671562592246e-07,2.1819221206537474e-07
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,2.0,2.0,161335.5,100212.0,1.5240998285387693e-07,4.955042895806349e-07
2020-03-05,1.0,1.0,358508.0,260198.0,7.921460305364374e-08,2.5158131435135544e-07
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,2.0,0.0,168242.0,483953.5,1.456524314962022e-07,0.0
2020-03-10,,,,,,
2020-03-11,1.0,0.0,376592.0,487161.0,7.614018596022178e-08,0.0
2020-03-12,11.0,8.0,49047.0,32330.5,7.776158059037016e-07,1.8838578111220609e-06
2020-03-13,24.0,8.0,29544.0,32469.0,1.6711076352072296e-06,1.8425444433235642e-06
2020-03-14,20.0,4.0,34695.5,60514.5,1.1941278048718745e-06,8.518566001636415e-07
2020-03-15,15.0,9.0,43658.5,32617.5,8.15615003618612e-07,1.7538297308046746e-06
2020-03-16,40.0,16.0,22779.0,20602.5,2.118624430123132e-06,3.1206931995804226e-06
2020-03-17,44.0,15.0,21891.0,22207.5,2.307061132872932e-06,2.8659289765481028e-06
2020-03-18,55.0,22.0,19161.0,16396.5,2.695599962379226e-06,4.176578922438841e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
