covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,33.0,0.0,23532.5,478463.5,2.3050157491947293e-06,0.0
2020-02-12,32.0,2.0,23858.0,104287.5,2.1831761173631817e-06,4.730890396150569e-07
2020-02-13,13.0,7.0,43968.5,36006.5,9.104423748455136e-07,1.611106878758914e-06
2020-02-14,12.0,8.0,45823.0,31850.0,8.492231236096625e-07,1.8029688586711307e-06
2020-02-15,7.0,1.0,65925.0,264499.0,5.149578709287523e-07,2.4168302256521877e-07
2020-02-16,4.0,1.0,98936.5,273012.0,2.955288844021037e-07,2.3366839043838292e-07
2020-02-17,8.0,4.0,59032.5,54283.0,5.881836550526373e-07,9.923224015789837e-07
2020-02-18,3.0,2.0,114068.5,97471.5,2.173991338673574e-07,5.287702575190471e-07
2020-02-19,7.0,6.0,63172.5,38308.0,5.199046227542348e-07,1.534739990745518e-06
2020-02-20,2.0,2.0,161882.0,100421.0,1.4155835506077135e-07,4.969796064418496e-07
2020-02-21,7.0,5.0,63528.0,44837.5,5.210478778985335e-07,1.2413277738400101e-06
2020-02-22,2.0,1.0,165781.5,264643.5,1.5086305737865177e-07,2.3909894129379786e-07
2020-02-23,19.0,3.0,33871.5,74048.0,1.2965600691844451e-06,6.267268937284276e-07
2020-02-24,30.0,15.0,24698.5,19398.0,2.0611084297617185e-06,3.518060432303957e-06
2020-02-25,86.0,11.0,12648.0,24685.0,5.838041328988021e-06,2.3709471890912293e-06
2020-02-26,56.0,25.0,16285.0,12490.5,4.084913088367903e-06,6.102770657878677e-06
2020-02-27,42.0,18.0,20135.5,16305.5,2.9471436108698238e-06,4.325948698574384e-06
2020-02-28,163.0,40.0,7785.5,8371.5,1.1443375405406145e-05,9.548845687789033e-06
2020-02-29,115.0,37.0,10144.5,9522.5,7.813803716163514e-06,8.073111846418866e-06
2020-03-01,78.0,18.0,13104.5,16159.5,5.684154283104987e-06,4.305373440916643e-06
2020-03-02,830.0,139.0,2266.5,2863.5,4.9759472899702113e-05,3.340884372953258e-05
2020-03-03,3236.0,72.0,510.0,5405.5,0.0002213568449508169,1.625585634157889e-05
2020-03-04,958.0,75.0,1602.0,4784.5,7.300438178700706e-05,1.858141085927381e-05
2020-03-05,161.0,38.0,7185.0,8507.0,1.275355109163664e-05,9.560089945351507e-06
2020-03-06,130.0,60.0,8439.5,5647.0,1.007608685710884e-05,1.5063243025844006e-05
2020-03-07,75.0,25.0,12865.0,12453.5,5.585629411809391e-06,5.874058770192957e-06
2020-03-08,58.0,20.0,15797.5,15345.0,4.22269903127644e-06,4.61077348722251e-06
2020-03-09,90.0,27.0,11912.0,11860.5,6.5543594173290985e-06,6.3068359795182e-06
2020-03-10,84.0,44.0,12116.0,7815.5,6.500486878728542e-06,1.0640754816453026e-05
2020-03-11,276.0,87.0,4903.5,4295.5,2.101469132502121e-05,2.075274252263182e-05
2020-03-12,541.0,157.0,3007.0,2641.5,3.824455918126387e-05,3.697070954327045e-05
2020-03-13,1271.0,276.0,1365.0,1655.0,8.849907518118289e-05,6.356778329466293e-05
2020-03-14,3126.0,416.0,627.0,1224.0,0.000186642175901474,8.859308641701872e-05
2020-03-15,4881.0,510.0,460.0,1103.0,0.00026540112217749627,9.938368474559824e-05
2020-03-16,7188.0,533.0,293.0,1060.0,0.0003807168100931268,0.00010395809221102284
2020-03-17,5746.0,577.0,385.5,985.0,0.0003012812106701787,0.00011024273463121704
2020-03-18,5483.0,757.0,447.0,764.0,0.0002687268107950054,0.00014371228383119102
2020-03-19,,,,,,
2020-03-20,,,,,,
