virus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,39.0,23.0,21459.0,12666.5,2.412145784895848e-06,5.51596187463082e-06
2020-01-02,105.0,52.0,11051.0,6676.0,6.741140215716487e-06,1.2128735329769818e-05
2020-01-03,65.0,44.0,14741.0,7820.5,4.623101967705997e-06,1.0079502072597613e-05
2020-01-04,70.0,47.0,14760.0,7494.0,4.723529459000002e-06,1.0547907699074926e-05
2020-01-05,62.0,31.0,16127.5,10550.5,4.2782212867178345e-06,7.10602859420061e-06
2020-01-06,74.0,49.0,14085.5,6974.5,4.838103649048146e-06,1.1424190934135111e-05
2020-01-07,71.0,36.0,14233.0,8778.0,4.788961591920982e-06,8.895662771354781e-06
2020-01-08,101.0,33.0,10832.0,9255.5,7.384697094348352e-06,8.53025513476123e-06
2020-01-09,70.0,38.0,14241.0,8356.0,5.006345542975722e-06,9.562194906218773e-06
2020-01-10,184.0,36.0,6824.0,8614.5,1.3638665498089994e-05,9.164036248854496e-06
2020-01-11,493.0,33.0,2881.5,9320.5,3.875245700796131e-05,8.27068498314284e-06
2020-01-12,258.0,43.0,5194.0,7720.0,1.960070924178759e-05,1.0342706792199868e-05
2020-01-13,224.0,53.0,6391.5,7715.5,1.4921130832538486e-05,1.0678768733935252e-05
2020-01-14,481.0,71.0,3120.5,4872.5,3.594242456985287e-05,1.7787299968032965e-05
2020-01-15,262.0,57.0,5116.0,6466.0,1.9140334521909146e-05,1.252229297683903e-05
2020-01-16,125.0,56.0,8862.5,6073.5,9.62034205164646e-06,1.3996910182077307e-05
2020-01-17,124.0,54.0,9096.0,6263.5,9.352095144595835e-06,1.3615084908964246e-05
2020-01-18,154.0,49.0,7821.5,7002.0,1.100044708959957e-05,1.167634691427512e-05
2020-01-19,399.0,69.0,3716.0,5211.0,2.9054185765182032e-05,1.6234423188591297e-05
2020-01-20,1097.0,60.0,1329.0,5824.5,8.646716372017523e-05,1.4563181025922706e-05
2020-01-21,552.0,104.0,2670.5,3629.0,4.2707619766633796e-05,2.516142627544843e-05
2020-01-22,686.0,144.0,2237.5,2740.0,5.136115290963926e-05,3.447884507361952e-05
2020-01-23,2391.0,471.0,588.0,938.5,0.00018275574568471723,0.00011425419301972376
2020-01-24,4813.0,736.0,288.0,592.5,0.0003683931674357279,0.0001832547943786592
2020-01-25,28025.0,2716.0,45.0,152.0,0.00198259420240642,0.0006757718379302072
2020-01-26,50150.0,4333.0,24.0,100.0,0.0033690839155164085,0.001031971343920586
2020-01-27,28013.0,2382.0,44.0,178.0,0.00212043588344014,0.0005955407945444262
2020-01-28,12140.0,1367.0,104.0,316.5,0.0009153911638361676,0.00033707535471201507
2020-01-29,5249.0,949.0,243.0,484.0,0.0004206330908662838,0.00023232790108755898
2020-01-30,3485.0,765.0,405.0,551.0,0.0002681549768024785,0.0001961418764701026
2020-01-31,3310.0,668.0,439.0,671.0,0.00025545313334105613,0.00016434945417774836
2020-02-01,3373.0,601.0,435.0,795.0,0.0002553049383983169,0.0001359678364802384
2020-02-02,3769.0,732.0,372.5,590.0,0.00028795827118686024,0.000182564856664141
2020-02-03,6393.0,711.0,217.0,599.0,0.0004952767041919016,0.00018134169902634048
2020-02-04,3438.0,615.0,422.0,691.5,0.00026589944082229284,0.0001563714103226489
2020-02-05,2453.0,519.0,575.0,827.0,0.00019312971545922672,0.00012862523661839049
2020-02-06,2410.0,480.0,572.0,919.0,0.00018856527644764933,0.00011968421320346267
2020-02-07,3469.0,488.0,382.0,889.5,0.00027723502457354044,0.0001225467115167541
2020-02-08,2701.0,445.0,511.0,992.0,0.00021469492574385319,0.000109020396613753
2020-02-09,2368.0,560.0,648.0,868.5,0.00017560931910007936,0.00012354430066976454
2020-02-10,2865.0,534.0,508.0,828.0,0.0002158263951236644,0.0001310207596750489
2020-02-11,3157.0,519.0,508.5,933.0,0.00022051317333962906,0.00011685541405318069
2020-02-12,2766.0,420.0,608.0,1097.5,0.00018870828564458,9.934869831916196e-05
2020-02-13,2628.0,416.0,605.0,1135.0,0.0001840494277764623,9.574578022338687e-05
2020-02-14,9714.0,436.0,137.0,1079.5,0.0006874461185620218,9.826180279757664e-05
2020-02-15,6078.0,286.0,231.0,1479.5,0.00044713056278642235,6.912134445365256e-05
2020-02-16,2512.0,299.0,594.0,1489.0,0.00018559213940452112,6.98668487410765e-05
2020-02-17,1076.0,320.0,1459.0,1340.0,7.911070160457971e-05,7.938579212631867e-05
2020-02-18,1264.0,251.0,1340.5,1558.5,9.159750173611324e-05,6.636066731864039e-05
2020-02-19,607.0,175.0,2634.5,2188.0,4.5083158001688646e-05,4.476324973007761e-05
2020-02-20,763.0,211.0,2203.5,1942.0,5.400451245568427e-05,5.2431348479615146e-05
2020-02-21,1506.0,243.0,1062.0,1719.5,0.00011209972915931309,6.03285298086245e-05
2020-02-22,941.0,218.0,1644.5,1889.5,7.098106849665566e-05,5.212356920204793e-05
2020-02-23,1424.0,323.0,1236.0,1610.5,9.717376518519208e-05,6.747759555809403e-05
2020-02-24,1453.0,335.0,1220.0,1361.5,9.982635161479257e-05,7.857001632145503e-05
2020-02-25,4479.0,451.0,370.0,1131.5,0.00030405333851787615,9.720883475274038e-05
2020-02-26,4496.0,479.0,333.0,924.5,0.00032796016509468025,0.00011692908580495544
2020-02-27,5162.0,680.0,297.0,656.0,0.000362217983793096,0.00016342472861281005
2020-02-28,9506.0,2359.0,139.0,183.0,0.0006673664208821522,0.0005631431744373581
2020-02-29,5304.0,855.0,310.0,592.0,0.00036038621661331537,0.0001865543413158954
2020-03-01,6941.0,763.0,199.0,599.0,0.0005058168574234836,0.00018249999641218882
2020-03-02,48235.0,3810.0,28.0,112.0,0.002891744789538712,0.0009157388101404252
2020-03-03,22964.0,2162.0,58.0,221.0,0.0015708401073703823,0.00048812724181241063
2020-03-04,13542.0,2373.0,94.0,177.0,0.0010319679939036009,0.0005879158395874233
2020-03-05,8430.0,1261.0,145.5,338.0,0.0006677791037422168,0.0003172440373970592
2020-03-06,5232.0,789.0,253.0,545.5,0.0004055237418184113,0.00019808164578984867
2020-03-07,3547.0,573.0,418.0,824.5,0.00026416303364917214,0.00013463342701282259
