#coronavirusoutbreak,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,1.0,1.0,265621.5,183595.0,2.3234897142595586e-07,5.553315718215875e-07
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,1.0,0.0,263059.5,339006.5,2.401783852903228e-07,0.0
2020-02-04,,,,,,
2020-02-05,1.0,0.0,274036.5,353755.0,2.1341610463535512e-07,0.0
2020-02-06,,,,,,
2020-02-07,1.0,0.0,263500.0,340286.0,2.2572736693766746e-07,0.0
2020-02-08,1.0,0.0,269651.0,346013.5,1.9530319258222847e-07,0.0
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,1.0,1.0,265217.5,181351.5,2.504111751495957e-07,5.832097414689537e-07
2020-02-12,,,,,,
2020-02-13,3.0,1.0,75398.5,183418.0,7.285374683177269e-07,5.570530999726487e-07
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,1.0,0.0,261039.5,334855.0,2.0615819260287914e-07,0.0
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,1.0,1.0,276626.0,189864.5,2.0527423406025048e-07,5.020528942847305e-07
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,1.0,0.0,283038.5,355169.5,1.5223575716509012e-07,0.0
2020-03-09,5.0,1.0,56030.5,194732.5,8.084453434356663e-07,4.251615720264093e-07
2020-03-10,3.0,2.0,82416.5,67866.5,5.142824816529725e-07,8.776691564677855e-07
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,1.0,1.0,300254.0,205705.0,1.5514324686269323e-07,4.125918068344183e-07
2020-03-14,7.0,0.0,43945.5,381767.5,1.1274066104681314e-06,0.0
2020-03-15,3.0,0.0,88329.5,394841.0,4.888129454613473e-07,0.0
2020-03-16,,,,,,
2020-03-17,,,,,,
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
