#coronavirusupdate,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,5.0,2.0,49599.5,60912.0,1.252055875747978e-06,1.1664194829379074e-06
2020-02-12,1.0,1.0,268395.5,185981.5,2.3819902481319245e-07,5.507884812503338e-07
2020-02-13,1.0,0.0,265570.5,344640.5,2.428458227725756e-07,0.0
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,1.0,1.0,276332.0,190617.5,2.1483869373777433e-07,5.145380143257674e-07
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,7.0,2.0,40304.5,64558.5,1.4369196384217532e-06,1.0041057885694605e-06
2020-03-02,4.0,2.0,62815.0,64339.5,8.425155238750996e-07,1.0172138005396318e-06
2020-03-03,1.0,1.0,278093.0,191137.0,2.1004727534026086e-07,5.048304703555976e-07
2020-03-04,1.0,0.0,272156.0,353422.0,2.0831961895841857e-07,0.0
2020-03-05,1.0,0.0,276491.0,359509.0,2.0770079786184487e-07,0.0
2020-03-06,1.0,0.0,273965.5,354277.0,2.119230448085848e-07,0.0
2020-03-07,,,,,,
2020-03-08,1.0,1.0,283038.5,194869.0,1.5223575716509012e-07,4.0372117884969343e-07
2020-03-09,3.0,2.0,83822.0,67665.5,4.850672060613998e-07,8.503231440528188e-07
2020-03-10,,,,,,
2020-03-11,1.0,1.0,291688.0,201387.0,1.6238237021101914e-07,4.1960794351405714e-07
2020-03-12,2.0,1.0,120359.0,201725.0,3.3321665196903554e-07,4.329011825128701e-07
2020-03-13,2.0,2.0,124548.0,70368.5,3.1028649372538646e-07,8.251836136688366e-07
2020-03-14,1.0,0.0,296238.0,381767.5,1.6105808720973304e-07,0.0
2020-03-15,2.0,1.0,126816.5,211019.5,3.2587529697423155e-07,4.2658021307681644e-07
2020-03-16,,,,,,
2020-03-17,,,,,,
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
