#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,2.0,0.0,110008.0,348769.5,4.763980496263849e-07,0.0
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,39.0,1.0,9700.5,177376.0,8.040169511512285e-06,5.322804117082528e-07
2020-02-23,32.0,2.0,12209.5,63139.5,5.98348819037066e-06,9.87899222424522e-07
2020-02-24,34.0,2.0,10992.5,63773.5,6.7337880092625224e-06,1.0038845311934532e-06
2020-02-25,9.0,6.0,33001.5,22925.5,1.840459558661888e-06,3.036116119297099e-06
2020-02-26,6.0,3.0,44547.5,42575.5,1.2645366390007123e-06,1.5401058976815246e-06
2020-02-27,,,,,,
2020-02-28,2.0,1.0,113682.5,191267.0,4.3685128948671505e-07,5.168263143151585e-07
2020-02-29,2.0,2.0,113009.5,63198.5,4.2804618532730455e-07,1.0319459507988809e-06
2020-03-01,7.0,3.0,40304.5,43000.0,1.4369196384217532e-06,1.506158682854191e-06
2020-03-02,3.0,0.0,79553.5,355968.0,6.318866429063247e-07,0.0
2020-03-03,2.0,1.0,114608.5,191137.0,4.200945506805217e-07,5.048304703555976e-07
2020-03-04,17.0,1.0,19227.5,188124.5,3.541433522293116e-06,5.056153642351961e-07
2020-03-05,17.0,2.0,19593.5,64530.0,3.5309135636513634e-06,1.0061647715553197e-06
2020-03-06,4.0,2.0,61982.5,63778.5,8.47692179234339e-07,1.023875758819922e-06
2020-03-07,6.0,1.0,45847.5,187249.5,1.1302932338574816e-06,4.837091592264136e-07
2020-03-08,23.0,15.0,17987.5,11633.5,3.501422414797072e-06,6.055817682745401e-06
2020-03-09,11.0,9.0,30742.5,17598.5,1.778579755558466e-06,3.826454148237684e-06
2020-03-10,16.0,11.0,22039.0,14526.5,2.742839902149186e-06,4.8271803605728205e-06
2020-03-11,24.0,14.0,16496.5,12222.5,3.89717688506446e-06,5.8745112091967985e-06
2020-03-12,49.0,15.0,9195.5,11319.0,8.16380797324137e-06,6.4935177376930526e-06
2020-03-13,75.0,11.0,6865.5,15292.5,1.1635743514701995e-05,4.5385098751786005e-06
2020-03-14,30.0,8.0,14270.0,19374.0,4.831742616291992e-06,3.466946564819333e-06
2020-03-15,27.0,18.0,15787.5,9780.0,4.399316509152126e-06,7.678443835382695e-06
2020-03-16,57.0,13.0,8123.5,13022.5,9.583728241784351e-06,5.594781188107733e-06
2020-03-17,43.0,13.0,10547.0,13668.0,7.294580788075972e-06,5.425938238631929e-06
2020-03-18,36.0,12.0,11995.0,14284.5,6.2521980383728655e-06,5.041646097450818e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
