#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,41.0,11.0,8149.5,12093.0,1.0266858181133425e-05,6.41530715615849e-06
2020-02-12,97.0,8.0,3685.0,16988.0,2.310530540687967e-05,4.4063078500026715e-06
2020-02-13,13.0,3.0,22748.0,40936.0,3.156995696043483e-06,1.6711592999179462e-06
2020-02-14,19.0,3.0,15640.5,39443.0,4.770792305565732e-06,1.737499703177134e-06
2020-02-15,24.0,4.0,12601.0,28290.5,6.280348475602416e-06,2.5620397936020744e-06
2020-02-16,4.0,2.0,57487.0,59172.5,9.92696483794602e-07,1.1711439499874684e-06
2020-02-17,17.0,7.0,17941.0,18405.5,4.054297054052365e-06,3.965405799802523e-06
2020-02-18,3.0,3.0,75242.5,40116.0,7.42844549873345e-07,1.7561421070193e-06
2020-02-19,10.0,3.0,27308.5,39582.0,2.5723552072700934e-06,1.7904557963320725e-06
2020-02-20,6.0,1.0,41837.5,180487.5,1.4847453550360212e-06,5.904132243115634e-07
2020-02-21,43.0,17.0,8388.5,8476.0,9.443762394938145e-06,9.04067292387594e-06
2020-02-22,363.0,24.0,1195.5,6253.5,7.483542391484512e-05,1.2774729880998068e-05
2020-02-23,477.0,41.0,1010.5,4030.0,8.919137083771265e-05,2.0251934059702705e-05
2020-02-24,276.0,59.0,1681.5,2836.0,5.4662514428131074e-05,2.961459367020687e-05
2020-02-25,230.0,58.0,1913.0,2907.0,4.7033966499137127e-05,2.9349122486538622e-05
2020-02-26,139.0,45.0,3028.5,3553.5,2.929509880351651e-05,2.310158846522287e-05
2020-02-27,163.0,44.0,2518.5,3677.0,3.501870707925721e-05,2.263967263033377e-05
2020-02-28,133.0,31.0,2992.5,5023.0,2.9050610750866552e-05,1.6021615743769917e-05
2020-02-29,198.0,38.0,2082.0,4149.5,4.237657234740314e-05,1.9606973065178728e-05
2020-03-01,256.0,55.0,1707.5,3064.0,5.255020391942412e-05,2.761290918566016e-05
2020-03-02,225.0,50.0,1910.5,3283.0,4.739149821797435e-05,2.5430345013490798e-05
2020-03-03,130.0,40.0,3262.5,4108.5,2.730614579423391e-05,2.0193218814223903e-05
2020-03-04,194.0,57.0,2240.0,2946.5,4.04140060779332e-05,2.8820075761406177e-05
2020-03-05,153.0,60.0,2758.5,2819.0,3.177822207286227e-05,3.018494314665958e-05
2020-03-06,249.0,60.0,1674.5,2740.0,5.27688381573376e-05,3.071627276459765e-05
2020-03-07,481.0,105.0,1013.5,1690.0,9.061184091424146e-05,5.078946171877343e-05
2020-03-08,415.0,98.0,1449.5,2198.5,6.317783922351239e-05,3.9564675527269955e-05
2020-03-09,762.0,135.0,757.0,1526.0,0.00012320707033959555,5.739681222356526e-05
2020-03-10,348.0,91.0,1543.0,2163.5,5.965676787174481e-05,3.9933946619284226e-05
2020-03-11,548.0,145.0,1058.5,1472.5,8.898553887563849e-05,6.084315180953828e-05
2020-03-12,529.0,129.0,1044.5,1575.0,8.813580444580989e-05,5.5844252544160256e-05
2020-03-13,468.0,130.0,1251.0,1627.5,7.260703953174045e-05,5.3636934888474374e-05
2020-03-14,416.0,121.0,1383.5,1661.5,6.700016427924895e-05,5.2437566792892405e-05
2020-03-15,293.0,98.0,1892.5,2097.5,4.774073100672493e-05,4.1804860881528006e-05
2020-03-16,301.0,118.0,1724.0,1700.5,5.0608810539948934e-05,5.078339847667019e-05
2020-03-17,397.0,126.0,1331.0,1618.0,6.73476412294456e-05,5.258986292827869e-05
2020-03-18,346.0,135.0,1487.0,1487.5,6.0090570035472535e-05,5.67185185963217e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
