#covid_19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,1.0,1.0,262685.5,180487.5,2.4745755917267016e-07,5.904132243115634e-07
2020-02-21,1.0,1.0,267446.0,183117.0,2.1962238127763123e-07,5.318042896397609e-07
2020-02-22,3.0,1.0,76097.5,177376.0,6.184745778086377e-07,5.322804117082528e-07
2020-02-23,6.0,3.0,46422.0,42578.5,1.1219040356944988e-06,1.4818488336367832e-06
2020-02-24,74.0,13.0,5588.5,11354.0,1.4655891549571375e-05,6.525249452757445e-06
2020-02-25,56.0,3.0,7072.5,43053.0,1.1451748365007302e-05,1.5180580596485491e-06
2020-02-26,14.0,5.0,22775.5,26719.0,2.9505854910016625e-06,2.566843162802541e-06
2020-02-27,8.0,3.0,35483.0,42510.5,1.7187095499021947e-06,1.5436140429773022e-06
2020-02-28,,,,,,
2020-02-29,3.0,1.0,78451.0,185881.5,6.420692779909567e-07,5.159729753994404e-07
2020-03-01,1.0,0.0,276626.0,357301.0,2.0527423406025048e-07,0.0
2020-03-02,2.0,1.0,114255.5,189178.5,4.212577619375498e-07,5.086069002698159e-07
2020-03-03,47.0,14.0,8237.5,10848.5,9.872221940992261e-06,7.067626584978363e-06
2020-03-04,57.0,13.0,6869.5,11427.0,1.187421828062986e-05,6.572999735057547e-06
2020-03-05,48.0,9.0,8075.0,16073.0,9.969638297368556e-06,4.527741471998937e-06
2020-03-06,10.0,3.0,30036.0,42629.5,2.1192304480858475e-06,1.5358136382298827e-06
2020-03-07,11.0,6.0,28525.0,23144.0,2.0722042620720497e-06,2.902254955358482e-06
2020-03-08,28.0,10.0,15472.5,16712.5,4.262601200622522e-06,4.037211788496934e-06
2020-03-09,12.0,8.0,28803.0,19524.0,1.940268824245599e-06,3.401292576211275e-06
2020-03-10,9.0,4.0,34524.0,35229.0,1.5428474449589173e-06,1.755338312935571e-06
2020-03-11,13.0,7.0,26734.5,22408.5,2.1109708127432487e-06,2.9372556045984e-06
2020-03-12,73.0,24.0,6498.5,7477.5,1.2162407796869796e-05,1.0389628380308884e-05
2020-03-13,108.0,27.0,4907.0,7043.5,1.6755470661170873e-05,1.1139978784529292e-05
2020-03-14,127.0,33.0,4245.0,5644.5,2.0454377075636097e-05,1.4301154579879749e-05
2020-03-15,68.0,18.0,7283.5,9780.0,1.1079760097123872e-05,7.678443835382695e-06
2020-03-16,41.0,28.0,10785.5,6507.0,6.8935589107571625e-06,1.2050297943616656e-05
2020-03-17,45.0,20.0,10143.5,9263.5,7.633863615428343e-06,8.347597290202967e-06
2020-03-18,36.0,18.0,11995.0,9914.5,6.2521980383728655e-06,7.562469146176227e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
