#covidー19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,3.0,1.0,77964.0,190423.0,6.322683195003563e-07,5.133686325605081e-07
2020-02-27,1.0,0.0,276332.0,358828.5,2.1483869373777433e-07,0.0
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,3.0,2.0,77656.5,63778.0,6.249588568752558e-07,1.0112307284703922e-06
2020-03-05,3.0,2.0,78415.5,64530.0,6.231023935855346e-07,1.0061647715553197e-06
2020-03-06,,,,,,
2020-03-07,5.0,1.0,52800.5,187249.5,9.41911028214568e-07,4.837091592264136e-07
2020-03-08,5.0,1.0,57621.0,194869.0,7.611787858254505e-07,4.0372117884969343e-07
2020-03-09,2.0,0.0,119631.0,366065.5,3.233781373742665e-07,0.0
2020-03-10,13.0,4.0,25991.5,35229.0,2.2285574204962138e-06,1.755338312935571e-06
2020-03-11,6.0,2.0,48812.5,70075.5,9.74294221266115e-07,8.392158870281144e-07
2020-03-12,3.0,1.0,83947.0,201725.0,4.998249779535533e-07,4.329011825128701e-07
2020-03-13,2.0,2.0,124548.0,70368.5,3.1028649372538646e-07,8.251836136688366e-07
2020-03-14,2.0,2.0,123139.5,69796.5,3.221161744194661e-07,8.66736641204833e-07
2020-03-15,2.0,2.0,126816.5,72506.5,3.2587529697423155e-07,8.531604261536329e-07
2020-03-16,5.0,4.0,57362.0,37101.0,8.406779159459954e-07,1.7214711348023791e-06
2020-03-17,1.0,0.0,314754.5,411580.5,1.6964141367618544e-07,0.0
2020-03-18,4.0,1.0,68892.5,219389.5,6.946886709303185e-07,4.2013717478756813e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
