covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,2.0,1.0,108771.5,181351.5,5.008223502991913e-07,5.832097414689537e-07
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,1.0,0.0,247975.5,319062.5,2.6168118648343396e-07,0.0
2020-02-16,,,,,,
2020-02-17,1.0,1.0,261796.5,179191.5,2.384880620030803e-07,5.664865428289318e-07
2020-02-18,,,,,,
2020-02-19,1.0,1.0,261364.5,179686.5,2.5723552072700927e-07,5.968185987773575e-07
2020-02-20,,,,,,
2020-02-21,15.0,3.0,20510.0,41133.0,3.294335719164468e-06,1.595412868919283e-06
2020-02-22,16.0,2.0,20244.0,60810.5,3.298531081646066e-06,1.0645608234165056e-06
2020-02-23,16.0,8.0,21612.0,17819.0,2.99174409518533e-06,3.951596889698088e-06
2020-02-24,22.0,18.0,15977.5,8421.5,4.357156947169868e-06,9.034960780741077e-06
2020-02-25,49.0,18.0,7976.5,8596.5,1.0020279819381391e-05,9.108348357891297e-06
2020-02-26,20.0,10.0,17027.0,14429.0,4.215122130002375e-06,5.133686325605082e-06
2020-02-27,10.0,9.0,29640.5,15745.5,2.1483869373777432e-06,4.630842128931907e-06
2020-02-28,19.0,12.0,17400.5,12134.0,4.1500872501237934e-06,6.201915771781904e-06
2020-02-29,12.0,7.0,25784.5,19571.5,2.5682771119638262e-06,3.611810827796083e-06
2020-03-01,19.0,12.0,18188.0,12360.0,3.900210447144759e-06,6.024634731416763e-06
2020-03-02,13.0,6.0,24559.0,22790.0,2.738175452594073e-06,3.051641401618896e-06
2020-03-03,16.0,10.0,20706.5,14679.0,3.360756405444173e-06,5.048304703555976e-06
2020-03-04,28.0,18.0,12718.0,8460.5,5.83294933083572e-06,9.101076556233529e-06
2020-03-05,42.0,17.0,9113.5,9032.0,8.723433510197487e-06,8.552400558220216e-06
2020-03-06,21.0,11.0,16167.5,13158.0,4.45038394098028e-06,5.63131667350957e-06
2020-03-07,32.0,16.0,12132.5,9650.5,6.028230580573236e-06,7.739346547622618e-06
2020-03-08,54.0,25.0,9193.5,7424.0,8.220730886914865e-06,1.0093029471242334e-05
2020-03-09,46.0,19.0,9909.0,9099.0,7.43769715960813e-06,8.078069868501778e-06
2020-03-10,34.0,21.0,11977.5,8186.0,5.8285347920670225e-06,9.215526142911746e-06
2020-03-11,68.0,22.0,7031.5,8157.0,1.10420011743493e-05,9.231374757309256e-06
2020-03-12,66.0,32.0,7111.0,5845.0,1.0996149514978172e-05,1.3852837840411843e-05
2020-03-13,57.0,35.0,8800.0,5608.5,8.843165071173517e-06,1.4440713239204638e-05
2020-03-14,54.0,36.0,8886.5,5241.5,8.697136709325584e-06,1.5601259541687e-05
2020-03-15,44.0,36.0,10560.5,5260.0,7.169256533433095e-06,1.535688767076539e-05
2020-03-16,58.0,39.0,8000.0,4802.5,9.751863824973547e-06,1.6784343564323198e-05
2020-03-17,53.0,37.0,8737.0,5249.0,8.990994924837829e-06,1.544305498687549e-05
2020-03-18,54.0,32.0,8449.5,5927.5,9.3782970575593e-06,1.344438959320218e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
