virus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,11.0,6.0,19674.0,15801.5,3.51390772733865e-06,4.64463150267763e-06
2020-01-02,25.0,16.0,11101.5,7427.0,7.163492093510507e-06,1.0777589619025681e-05
2020-01-03,23.0,14.0,12475.5,8885.0,6.234114865463736e-06,8.939614817539267e-06
2020-01-04,46.0,8.0,6355.0,14284.5,1.3116021762331411e-05,5.369224811456315e-06
2020-01-05,29.0,16.0,10544.5,8148.5,7.744357167616196e-06,9.933649430336248e-06
2020-01-06,26.0,10.0,12013.0,12728.5,6.73809566385403e-06,6.017647352626312e-06
2020-01-07,31.0,16.0,9988.0,8135.0,8.087125999770952e-06,9.828444501231012e-06
2020-01-08,22.0,12.0,13700.5,10685.0,5.7660952029495145e-06,7.322359557143692e-06
2020-01-09,20.0,10.0,15027.0,13092.0,5.163788930127481e-06,5.902076291418557e-06
2020-01-10,33.0,15.0,9333.0,8701.5,8.928085891432851e-06,9.00827319810514e-06
2020-01-11,27.0,14.0,11375.0,9242.5,7.114495151471553e-06,8.518841242874598e-06
2020-01-12,16.0,10.0,17989.0,12630.5,4.175217163482716e-06,6.0867014095583125e-06
2020-01-13,21.0,14.0,14067.5,9456.0,5.5111557602206354e-06,8.352304997542036e-06
2020-01-14,26.0,14.0,12063.5,9548.5,6.678775800945766e-06,8.35229503169696e-06
2020-01-15,18.0,13.0,16941.0,10332.0,4.485188785333632e-06,7.5025725166917835e-06
2020-01-16,27.0,16.0,11834.5,8576.5,6.696450162165701e-06,9.09139981987664e-06
2020-01-17,20.0,11.0,15666.0,12166.5,4.733368186701081e-06,6.268720679483731e-06
2020-01-18,46.0,26.0,7123.5,5148.5,1.1394052403723975e-05,1.5852923888892955e-05
2020-01-19,169.0,18.0,2087.5,7434.5,4.2221004725005104e-05,1.0596151242398732e-05
2020-01-20,164.0,64.0,2251.5,2339.5,4.002286183961668e-05,3.654065090318212e-05
2020-01-21,240.0,94.0,1430.5,1564.0,5.881049885025474e-05,5.382612101486288e-05
2020-01-22,256.0,125.0,1483.5,1237.0,5.799453537428791e-05,6.847003970166782e-05
2020-01-23,441.0,205.0,822.5,716.5,0.00010348155599654498,0.00011578205412048562
2020-01-24,561.0,168.0,641.0,882.0,0.00013114885933221152,9.555601943199908e-05
2020-01-25,859.0,226.0,394.5,606.0,0.0002161861244245523,0.00014091866498894476
2020-01-26,725.0,224.0,608.0,785.5,0.00014769986491064768,0.00011683796816686963
2020-01-27,364.0,167.0,1096.0,977.0,8.086319236331565e-05,9.020059640418293e-05
2020-01-28,628.0,224.0,632.5,686.0,0.00014139294111501844,0.00012304467455507542
2020-01-29,586.0,261.0,611.0,571.5,0.00013924386305247258,0.00014629323217240403
2020-01-30,1602.0,622.0,205.5,249.0,0.00038645431781887305,0.000349552887014616
2020-01-31,3550.0,985.0,98.0,151.0,0.0008248388485621432,0.0005470015982442637
2020-02-01,1866.0,479.0,185.0,303.0,0.0004583245217619409,0.0002890330366571127
2020-02-02,1940.0,572.0,194.0,278.0,0.00043204201764513047,0.00031652521715456
2020-02-03,1422.0,393.0,232.0,385.0,0.00034153366388283904,0.00022228795962843408
2020-02-04,955.0,265.0,416.0,654.0,0.000203081954732926,0.00013259918418977396
2020-02-05,469.0,176.0,868.5,983.5,0.00010009215307398154,8.91841876435308e-05
2020-02-06,517.0,160.0,781.5,1066.5,0.00011070825014154384,8.13443785442e-05
2020-02-07,419.0,136.0,895.5,1185.0,9.457976674688264e-05,7.416362786654691e-05
2020-02-08,359.0,113.0,1276.5,1610.0,7.011384613702004e-05,5.5834839556365016e-05
2020-02-09,469.0,130.0,891.5,1289.5,0.00010045160385228688,6.919372806758418e-05
2020-02-10,506.0,158.0,694.0,956.5,0.00012090500021026955,9.082323212291256e-05
2020-02-11,518.0,197.0,623.0,717.5,0.00012971298872749054,0.00011489231906938388
2020-02-12,332.0,138.0,1080.0,1093.0,7.908207623797988e-05,7.600881041254608e-05
2020-02-13,354.0,137.0,970.5,1119.0,8.596742126149177e-05,7.631627469625287e-05
2020-02-14,447.0,140.0,741.5,1026.5,0.00011223916634673064,8.108331948159959e-05
2020-02-15,331.0,109.0,978.5,1213.5,8.661647272601667e-05,6.981558437565653e-05
2020-02-16,386.0,129.0,896.5,1148.0,9.579521068617913e-05,7.553878477419174e-05
2020-02-17,380.0,125.0,923.0,1205.0,9.062546356117052e-05,7.081081785361648e-05
2020-02-18,362.0,122.0,926.0,1171.5,8.963657568471696e-05,7.141644568545154e-05
2020-02-19,187.0,87.0,1795.5,1595.0,4.810304237595074e-05,5.19232180936301e-05
2020-02-20,237.0,75.0,1445.5,1900.5,5.864744152392281e-05,4.428099182336725e-05
2020-02-21,3431.0,989.0,116.0,162.0,0.0007535243901635527,0.0005259544424537239
2020-02-22,5212.0,1622.0,75.0,106.0,0.001074496499846206,0.0008633588277907863
2020-02-23,6360.0,2040.0,70.0,88.0,0.0011892182778361687,0.0010076572068730128
2020-02-24,6634.0,1827.0,61.0,98.0,0.0013138808721602224,0.0009170485192452194
2020-02-25,5237.0,1554.0,76.0,111.0,0.0010709429676347007,0.0007863540748979486
2020-02-26,4297.0,1409.0,88.0,116.0,0.0009056189896310103,0.0007233364032777559
2020-02-27,3260.0,1113.0,116.0,143.0,0.0007003741415851444,0.0005726808099445791
2020-02-28,2898.0,914.0,123.5,179.0,0.00063299751846625,0.00047237925128405496
2020-02-29,2677.0,958.0,142.0,174.0,0.000572939819060597,0.000494302110432664
2020-03-01,3042.0,895.0,131.0,197.0,0.0006244442200112817,0.0004493373403848336
2020-03-02,2352.0,738.0,159.0,231.5,0.0004953991280385586,0.00037535189239912417
2020-03-03,2499.0,806.0,161.0,214.0,0.0005249081410753118,0.0004068933591066116
2020-03-04,3913.0,1165.0,102.0,139.0,0.0008151546689842919,0.0005890418993340034
2020-03-05,3498.0,1065.0,112.5,157.0,0.0007265373909207335,0.0005357827408532076
2020-03-06,3417.0,1142.0,116.0,142.0,0.0007241410441109341,0.0005846330582861752
2020-03-07,4651.0,1506.0,95.0,121.0,0.0008761656384451912,0.0007284659937949789
2020-03-08,6047.0,1899.0,95.5,125.0,0.0009205696235772998,0.0007666665186355678
2020-03-09,5584.0,1699.0,94.0,129.0,0.0009028717595489519,0.0007223495108728697
2020-03-10,4769.0,1466.0,102.0,141.0,0.0008175377183343419,0.0006433314916908867
2020-03-11,4999.0,1698.0,109.0,128.0,0.0008117494686848848,0.0007124942880868693
2020-03-12,5596.0,1640.0,92.0,127.0,0.0009323401922093613,0.000709957939321107
2020-03-13,4161.0,1462.0,137.0,148.0,0.0006455510501956668,0.0006032092215919197
2020-03-14,4468.0,1439.0,125.0,143.0,0.0007196075336530874,0.0006236170133468778
2020-03-15,4443.0,1457.0,122.0,137.0,0.0007239319722282554,0.0006215273704529216
2020-03-16,3735.0,1378.0,145.0,143.0,0.0006279864032116588,0.0005930468059394198
2020-03-17,4528.0,1414.0,109.0,144.0,0.0007681363211257676,0.0005901751284173499
2020-03-18,4192.0,1370.0,119.0,145.0,0.0007280337271349738,0.0005755879294589684
2020-03-19,,,,,,
2020-03-20,,,,,,
