#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,15.0,5.0,116596.5,101105.5,5.16383363835525e-07,6.594851373153573e-07
2020-01-28,40.0,0.0,53978.5,1724496.5,1.3810253878730642e-06,0.0
2020-01-29,51.0,1.0,45870.0,865316.0,1.695961181510312e-06,1.311604248076303e-07
2020-01-30,117.0,1.0,26102.0,863509.0,3.3854521277103656e-06,1.3064171340265096e-07
2020-01-31,107.0,6.0,24469.5,80014.0,3.6502774893186737e-06,7.875659094220445e-07
2020-02-01,30.0,1.0,66245.0,821290.5,1.0407151350369516e-06,1.353666120417265e-07
2020-02-02,33.0,2.0,66544.5,257766.0,1.1011544135820525e-06,2.6826488152483905e-07
2020-02-03,21.0,0.0,91215.0,1675995.0,7.486003312663409e-07,0.0
2020-02-04,36.0,0.0,59926.5,1701505.5,1.2199891563297156e-06,0.0
2020-02-05,33.0,0.0,65578.5,1689684.0,1.1210585619251007e-06,0.0
2020-02-06,30.0,0.0,67335.0,1670569.0,1.1026915303513268e-06,0.0
2020-02-07,63.0,0.0,35800.0,1611391.0,2.3875841983462453e-06,0.0
2020-02-08,31.0,1.0,61558.5,819977.5,1.176657558451508e-06,1.2901356358298016e-07
2020-02-09,41.0,2.0,53169.5,263983.0,1.471421741878389e-06,2.559021921349485e-07
2020-02-10,55.0,1.0,41517.0,851655.0,1.928440414837687e-06,1.3009817338261627e-07
