#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,6.0,1.0,236870.0,850086.5,1.852467397036929e-07,1.1755882055586512e-07
2020-02-19,4.0,2.0,334770.0,273597.0,1.2749975217235672e-07,2.305055944284032e-07
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,2.0,2.0,634521.0,292566.5,5.702355409222977e-08,2.1313134165646747e-07
2020-02-25,15.0,3.0,129116.5,192930.0,4.4274363983265353e-07,3.207927944805675e-07
2020-02-26,60.0,5.0,44402.0,113725.5,1.7486654258331104e-06,5.492495603257269e-07
2020-02-27,2.0,1.0,682228.0,986742.5,4.647064620059134e-08,1.0286861476506146e-07
2020-02-28,22.0,1.0,100181.0,945166.0,5.752528824745287e-07,1.0650238602620534e-07
2020-02-29,8.0,1.0,211694.0,944618.0,2.3742203357195038e-07,1.0869189521492627e-07
2020-03-01,2.0,0.0,655091.5,1896869.0,5.5663861968762884e-08,0.0
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,2.0,2.0,623723.0,279112.0,6.084814587637135e-08,2.368438286136477e-07
2020-03-05,2.0,0.0,623311.0,1819731.0,5.608348340572449e-08,0.0
2020-03-06,4.0,1.0,351001.5,922244.5,1.0644904507755133e-07,1.1573488702018195e-07
2020-03-07,,,,,,
2020-03-08,3.0,1.0,467466.5,933455.0,6.595271678256794e-08,1.0521474803540393e-07
2020-03-09,4.0,0.0,357316.0,1864907.5,1.1550675934004981e-07,0.0
2020-03-10,3.0,1.0,433512.0,912890.0,9.371554489419748e-08,1.1504015419061945e-07
2020-03-11,4.0,3.0,334551.0,177399.0,1.3418484351330005e-07,3.646568281444085e-07
2020-03-12,,,,,,
2020-03-13,5.0,1.0,286757.0,893687.0,1.5983977149817753e-07,1.2870344153002652e-07
2020-03-14,3.0,2.0,421981.5,265672.5,1.011099308960807e-07,2.703767767978873e-07
2020-03-15,11.0,0.0,154668.0,1786365.0,3.67381996151373e-07,0.0
2020-03-16,5.0,1.0,275695.0,876195.0,1.6926073983937087e-07,1.3379413818445904e-07
2020-03-17,83.0,4.0,31816.5,128020.0,2.795466306008852e-06,5.224601709019464e-07
2020-03-18,11.0,0.0,148750.5,1723805.0,3.828047582631453e-07,0.0
2020-03-19,,,,,,
2020-03-20,,,,,,
