covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,3.0,2.0,451607.0,285117.0,9.330791874447851e-08,2.2078535115689322e-07
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,14.0,0.0,135865.0,1854110.0,4.0802193269439247e-07,0.0
2020-02-27,4.0,1.0,378865.5,986742.5,9.294129240118268e-08,1.0286861476506146e-07
2020-02-28,2.0,0.0,657583.5,1877637.0,5.229571658859351e-08,0.0
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,4.0,1.0,351001.5,922244.5,1.0644904507755133e-07,1.1573488702018195e-07
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,2.0,1.0,645729.0,935745.0,5.7753379670024905e-08,1.1045818053285027e-07
2020-03-10,,,,,,
2020-03-11,4.0,3.0,334551.0,177399.0,1.3418484351330005e-07,3.646568281444085e-07
2020-03-12,2.0,1.0,664666.0,932499.0,5.6019176484494174e-08,1.2498840732522052e-07
2020-03-13,13.0,2.0,137321.0,274579.5,4.1558340589526156e-07,2.5740688306005304e-07
2020-03-14,2.0,0.0,601241.5,1729269.0,6.740662059738713e-08,0.0
2020-03-15,42.0,0.0,54812.0,1786365.0,1.4027312580325149e-06,0.0
2020-03-16,7.0,0.0,212372.0,1735413.5,2.369650357751193e-07,0.0
2020-03-17,3.0,0.0,420282.5,1769155.0,1.0104095081959704e-07,0.0
2020-03-18,146.0,2.0,19206.0,263463.0,5.0808631551290186e-06,2.766840687111683e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
