바이러스,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,21.0,9.0,87747.0,48163.5,6.818824071708832e-07,1.3918984396663836e-06
2020-01-02,23.0,17.0,80552.0,26293.5,8.681612906282026e-07,2.6348684541924244e-06
2020-01-03,126.0,22.0,19967.0,20185.5,4.988170711512275e-06,3.421971201623632e-06
2020-01-04,99.0,21.0,27751.0,22085.0,3.0739670050317737e-06,3.118894485571772e-06
2020-01-05,33.0,15.0,76977.5,31872.5,7.976565527280349e-07,2.0851390057918213e-06
2020-01-06,29.0,17.0,86756.5,28907.5,8.080795921616727e-07,2.368026406001749e-06
2020-01-07,46.0,21.0,58117.5,23074.0,1.3447683468426519e-06,2.9836347633231724e-06
2020-01-08,31.0,20.0,77161.0,23439.5,9.169003727407057e-07,2.871081960058944e-06
2020-01-09,46.0,28.0,54619.0,17345.5,1.438383257218886e-06,4.048382215861764e-06
2020-01-10,130.0,13.0,21308.0,33686.0,4.6093027358835514e-06,2.0325187363049287e-06
2020-01-11,50.0,15.0,45721.5,29316.5,1.7398609343074097e-06,2.348700620526704e-06
2020-01-12,38.0,18.0,57405.5,26436.0,1.3354983870869678e-06,2.6221724786391274e-06
2020-01-13,39.0,16.0,67195.0,31239.0,1.0689111095713921e-06,2.0421851636524227e-06
2020-01-14,23.0,13.0,93297.5,36718.0,7.145753836174645e-07,1.8200148149205928e-06
2020-01-15,188.0,34.0,16097.5,14505.5,6.00627502388293e-06,4.722367828563604e-06
2020-01-16,258.0,27.0,12151.0,17638.0,8.207357552481996e-06,3.7619284481209167e-06
2020-01-17,43.0,20.0,52238.5,23083.0,1.469747804948744e-06,2.8461599325573937e-06
2020-01-18,41.0,16.0,49839.0,28101.0,1.517854991020037e-06,2.3001821025418306e-06
2020-01-19,46.0,17.0,48776.5,28273.5,1.6224679359774152e-06,2.3043379840295825e-06
2020-01-20,278.0,36.0,10244.5,13854.0,9.661157154324926e-06,4.8613279203347195e-06
2020-01-21,615.0,46.0,4670.5,10658.0,2.147391730865823e-05,6.278181014425759e-06
2020-01-22,365.0,46.0,8028.0,10709.0,1.2970551163138615e-05,6.202863295635208e-06
2020-01-23,836.0,121.0,3365.5,4351.0,2.9140268319826158e-05,1.6516595424630064e-05
2020-01-24,1178.0,123.0,2414.5,4373.0,4.05628875404273e-05,1.6760799678192645e-05
2020-01-25,10334.0,485.0,181.0,1027.0,0.00037075821957411096,7.718149108275288e-05
2020-01-26,6178.0,239.0,316.0,2234.5,0.0002221744883918145,3.3185668678727184e-05
2020-01-27,6306.0,345.0,328.0,1718.0,0.00021708756615645465,4.550447447475966e-05
2020-01-28,7152.0,487.0,305.0,1226.0,0.0002469273393517039,6.392318507048417e-05
2020-01-29,3208.0,328.0,755.0,1770.0,0.00010667928373108,4.302061933690273e-05
2020-01-30,3659.0,376.0,818.5,1573.0,0.00010587495158369424,4.912128423939676e-05
2020-01-31,5317.0,364.0,398.0,1643.5,0.0001813880879505364,4.777899850493738e-05
2020-02-01,3650.0,256.0,636.0,2173.0,0.0001266203414294958,3.4653852682681985e-05
2020-02-02,3385.0,266.0,764.0,2137.5,0.0001129517481810681,3.5679229242803595e-05
2020-02-03,4469.0,252.0,453.5,2227.5,0.00015930928002044179,3.419166626979911e-05
2020-02-04,1887.0,219.0,1449.0,2612.5,6.394776494428259e-05,2.8712364514349364e-05
2020-02-05,3878.0,266.0,603.0,2205.5,0.0001317413667619861,3.4663228491401564e-05
2020-02-06,1965.0,195.0,1165.0,2907.0,7.222629523801192e-05,2.6036840393367248e-05
2020-02-07,1036.0,178.0,2427.5,2922.5,3.9262495706138265e-05,2.463219156206288e-05
2020-02-08,956.0,158.0,2638.5,3594.0,3.628660083482715e-05,2.0384143046110865e-05
2020-02-09,1157.0,136.0,2255.0,4257.5,4.152280378910478e-05,1.7401349065176498e-05
2020-02-10,1718.0,130.0,1473.5,4292.5,6.023746604892993e-05,1.6912762539740112e-05
2020-02-11,1426.0,132.0,1701.0,4211.0,5.36933230921917e-05,1.7197404182122075e-05
2020-02-12,2732.0,98.0,792.5,5695.5,0.00010060821569930076,1.279955196343821e-05
2020-02-13,940.0,112.0,3200.0,5176.0,3.1771341519884195e-05,1.4458426086718542e-05
2020-02-14,679.0,85.0,4355.5,6489.5,2.381575375282264e-05,1.122090139745106e-05
2020-02-15,470.0,65.0,5716.0,7887.0,1.7960015121568478e-05,8.561599854795269e-06
2020-02-16,399.0,83.0,6968.0,6639.0,1.398655278831745e-05,9.525224918676958e-06
2020-02-17,1633.0,93.0,1770.0,6184.5,5.200749736005421e-05,1.0651530040750692e-05
2020-02-18,1540.0,132.0,1872.0,4385.5,4.754666319061451e-05,1.5517764313374205e-05
2020-02-19,1933.0,160.0,1451.5,3820.0,6.161425523729138e-05,1.8440447554272254e-05
2020-02-20,2737.0,271.0,1120.5,2320.0,7.745898968176638e-05,3.0513173020950514e-05
2020-02-21,2277.0,287.0,1468.5,2206.0,6.288519772754936e-05,3.205745410645934e-05
2020-02-22,2079.0,348.0,1393.5,1828.0,6.636689939560153e-05,4.059590590288969e-05
2020-02-23,2381.0,317.0,1167.0,2097.5,7.405538484353444e-05,3.499447815836757e-05
2020-02-24,3309.0,294.0,886.0,2377.0,9.434547024559418e-05,3.1330307223500715e-05
2020-02-25,4069.0,304.0,607.0,2271.5,0.00012010159136527114,3.250700317403084e-05
