#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,2.0,0.0,69748.0,180223.0,6.167973660285281e-07,0.0
2020-01-22,12.0,2.0,16939.0,40673.5,3.981811086954789e-06,1.5912012933284112e-06
2020-01-23,34.0,5.0,8156.5,18022.0,1.0343825724790347e-05,3.930548775358918e-06
2020-01-24,18.0,3.0,12719.5,28395.5,5.672063950630355e-06,2.3304880663474416e-06
2020-01-25,23.0,4.0,10402.0,22033.5,7.500933540098198e-06,3.1048018088575337e-06
2020-01-26,20.0,7.0,11765.0,14052.5,5.8835729173255035e-06,5.2177633535608635e-06
2020-01-27,9.0,5.0,20860.0,18350.5,2.8393092906932174e-06,3.775311576464405e-06
2020-01-28,17.0,8.0,13109.5,12399.0,5.312016938459659e-06,6.138452802971013e-06
2020-01-29,20.0,4.0,12036.5,22281.5,6.1136839531080434e-06,3.0521909389607595e-06
2020-01-30,61.0,16.0,4913.5,6906.0,2.0393248698008082e-05,1.2952948414882938e-05
2020-01-31,59.0,17.0,5021.5,6855.0,1.992996811880693e-05,1.3122265551428475e-05
2020-02-01,18.0,4.0,12492.0,22441.0,5.7843293520008636e-06,3.0407590951005014e-06
2020-02-02,34.0,5.0,7611.5,18141.5,1.1394086603101068e-05,3.9010780239011255e-06
2020-02-03,129.0,5.0,2687.5,18104.0,4.169583759180357e-05,3.878473463872409e-06
2020-02-04,59.0,7.0,4991.0,13742.0,1.988080279355605e-05,5.42517062161605e-06
2020-02-05,29.0,5.0,8549.5,18201.0,9.424767443863324e-06,3.9037826873483865e-06
