#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,1.0,1.0,148267.5,101927.5,3.346935278304362e-07,7.646680537745163e-07
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,1.0,0.0,137537.5,170631.5,3.732496457860861e-07,0.0
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,3.0,2.0,50912.5,44250.0,8.657196655436359e-07,1.3068623998044935e-06
2020-02-24,1.0,1.0,156404.0,109034.0,2.7676458874581083e-07,6.378913862336662e-07
2020-02-25,6.0,0.0,30634.5,194325.5,1.6390204885756174e-06,0.0
2020-02-26,5.0,2.0,35690.5,45454.5,1.3765902025872737e-06,1.3138705311978559e-06
2020-02-27,4.0,2.0,41473.0,45049.5,1.1465851826796842e-06,1.3206663818429505e-06
2020-02-28,1.0,0.0,151982.0,188557.5,2.987112104823739e-07,0.0
2020-02-29,9.0,0.0,23511.0,201921.5,2.398270047872135e-06,0.0
2020-03-01,21.0,3.0,12411.5,32404.5,5.702579521113665e-06,1.8782728905117167e-06
2020-03-02,79.0,3.0,4409.0,31816.5,2.179093938257166e-05,1.9331640740788472e-06
2020-03-03,114.0,1.0,3355.0,111831.5,3.082371511749108e-05,6.299942796519407e-07
2020-03-04,10.0,0.0,20688.5,198449.5,2.8970132083523213e-06,0.0
2020-03-05,6.0,2.0,30738.0,47068.0,1.730646754229701e-06,1.2658884828199946e-06
2020-03-06,3.0,2.0,54463.0,47463.0,8.139330138555819e-07,1.2328594016316893e-06
2020-03-07,28.0,1.0,10385.5,116510.0,7.254019439217664e-06,6.114536270511976e-07
2020-03-08,5.0,1.0,37996.5,118908.5,1.3083710100571863e-06,5.806071408872258e-07
2020-03-09,6.0,1.0,31958.5,115576.5,1.66677361797382e-06,6.206947063431274e-07
2020-03-10,4.0,1.0,43436.0,116453.0,1.1684280232271806e-06,6.227603979189841e-07
2020-03-11,9.0,2.0,22253.0,47105.0,2.6698823916806463e-06,1.2697251806818932e-06
2020-03-12,7.0,4.0,28199.5,25892.0,1.928182899717136e-06,2.4536610770222614e-06
2020-03-13,14.0,2.0,16141.5,48020.0,3.933020658191007e-06,1.2388227219908376e-06
2020-03-14,14.0,3.0,16695.0,32558.5,3.866024575213646e-06,1.8879988722353408e-06
2020-03-15,20.0,5.0,12562.0,21243.5,5.623365533661607e-06,3.1037682850749093e-06
2020-03-16,7.0,3.0,27102.0,32975.0,2.021288791058512e-06,1.835817908893253e-06
2020-03-17,8.0,2.0,24083.0,47242.5,2.3587819368017454e-06,1.2495688987299382e-06
2020-03-18,12.0,5.0,17738.5,20941.0,3.546020699895836e-06,3.129866943096515e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
