#covid_19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,2.0,0.0,71679.0,187426.0,5.691012724250799e-07,0.0
2020-02-23,,,,,,
2020-02-24,7.0,1.0,27023.5,109034.0,1.937352121220676e-06,6.378913862336662e-07
2020-02-25,9.0,2.0,22647.5,45540.5,2.4585307328634264e-06,1.258054695185928e-06
2020-02-26,9.0,0.0,22823.5,193144.0,2.477862364657093e-06,0.0
2020-02-27,5.0,1.0,34733.5,108193.0,1.4332314783496054e-06,6.603331909214751e-07
2020-02-28,4.0,0.0,40186.0,188557.5,1.1948448419294953e-06,0.0
2020-02-29,3.0,2.0,55761.0,47069.0,7.994233492907117e-07,1.245399028962377e-06
2020-03-01,24.0,8.0,11243.5,14246.5,6.517233738415617e-06,5.008727708031245e-06
2020-03-02,13.0,1.0,17121.0,111107.5,3.5858507844738184e-06,6.443880246929491e-07
2020-03-03,4.0,1.0,43307.5,111831.5,1.0815338637716172e-06,6.299942796519407e-07
2020-03-04,1.0,0.0,160160.5,198449.5,2.897013208352321e-07,0.0
2020-03-05,4.0,1.0,42262.0,112844.0,1.1537645028198005e-06,6.329442414099973e-07
2020-03-06,2.0,1.0,76825.0,113165.0,5.426220092370547e-07,6.164297008158448e-07
2020-03-07,1.0,0.0,167679.0,206856.5,2.590721228292023e-07,0.0
2020-03-08,5.0,0.0,37996.5,206000.5,1.3083710100571863e-06,0.0
2020-03-09,13.0,3.0,17685.5,33016.5,3.611342838943277e-06,1.8620841190293823e-06
2020-03-10,14.0,2.0,16156.0,48724.0,4.0894980812951305e-06,1.2455207958379677e-06
2020-03-11,3.0,0.0,53170.5,201974.5,8.899607972268822e-07,0.0
2020-03-12,47.0,6.0,6863.5,18394.5,1.2946370898100767e-05,3.6804916155333914e-06
2020-03-13,24.0,2.0,10820.5,48020.0,6.742321128327441e-06,1.2388227219908376e-06
2020-03-14,13.0,1.0,17648.5,115972.0,3.5898799626983864e-06,6.293329574117801e-07
2020-03-15,8.0,1.0,25263.5,116762.0,2.2493462134646425e-06,6.207536570149819e-07
2020-03-16,3.0,0.0,53912.0,206817.5,8.66266624739362e-07,0.0
2020-03-17,4.0,1.0,41599.0,115585.5,1.1793909684008729e-06,6.247844493649691e-07
2020-03-18,2.0,2.0,75457.0,47506.0,5.910034499826393e-07,1.2519467772386058e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
