covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,1.0,1.0,141805.0,99779.0,3.4977240309730463e-07,7.857545836993641e-07
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,2.0,0.0,67951.5,177616.5,6.540699338113932e-07,0.0
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,2.0,1.0,71679.0,105882.0,5.691012724250799e-07,6.6763339982962e-07
2020-02-23,,,,,,
2020-02-24,11.0,0.0,19114.0,193183.5,3.044410476203919e-06,0.0
2020-02-25,4.0,0.0,41691.0,194325.5,1.0926803257170782e-06,0.0
2020-02-26,12.0,1.0,18364.0,108544.5,3.303816486209457e-06,6.569352655989279e-07
2020-02-27,1.0,1.0,155846.0,108193.0,2.8664629566992105e-07,6.603331909214751e-07
2020-02-28,,,,,,
2020-02-29,1.0,0.0,164323.0,201921.5,2.664744497635705e-07,0.0
2020-03-01,1.0,1.0,163460.0,113074.5,2.715514057673174e-07,6.260909635039056e-07
2020-03-02,10.0,0.0,20825.0,197206.0,2.758346757287552e-06,0.0
2020-03-03,1.0,0.0,162221.0,199263.0,2.703834659429043e-07,0.0
2020-03-04,2.0,0.0,75728.0,198449.5,5.794026416704639e-07,0.0
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,12.0,3.0,19346.0,33318.5,3.108865473950428e-06,1.8343608811535927e-06
2020-03-08,,,,,,
2020-03-09,1.0,0.0,166512.0,205417.0,2.777956029956367e-07,0.0
2020-03-10,,,,,,
2020-03-11,1.0,1.0,161742.5,114229.5,2.966535990756273e-07,6.348625903409466e-07
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-14,1.0,1.0,166529.5,115972.0,2.7614461251526045e-07,6.293329574117801e-07
2020-03-15,,,,,,
2020-03-16,1.0,0.0,165303.0,206817.5,2.887555415797873e-07,0.0
2020-03-17,2.0,1.0,75168.0,115585.5,5.896954842004363e-07,6.247844493649691e-07
2020-03-18,4.0,1.0,41986.5,116143.5,1.1820068999652783e-06,6.259733886193029e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
