ویروس,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,22.0,12.0,9137.5,7762.0,8.947468598452251e-06,1.1329240959737765e-05
2020-01-02,13.0,7.0,14738.0,13040.0,4.818266120991851e-06,6.016304184339561e-06
2020-01-03,11.0,7.0,21622.5,15212.0,2.0026854190846817e-06,4.189667442154159e-06
2020-01-04,16.0,11.0,14675.0,9641.5,4.385113853999827e-06,8.263388755631311e-06
2020-01-05,19.0,13.0,13258.5,8656.5,4.9284301160282135e-06,9.384519873525548e-06
2020-01-06,12.0,8.0,18873.5,12542.5,2.6674781728041264e-06,5.901145486103171e-06
2020-01-07,16.0,10.0,15548.0,11361.5,3.855003674300377e-06,6.534115597652684e-06
2020-01-08,9.0,3.0,20675.5,27467.0,2.4073169596549725e-06,2.096250018342188e-06
2020-01-09,27.0,12.0,9759.5,9164.5,7.582936258961203e-06,8.63486398290297e-06
2020-01-10,69.0,12.0,4710.5,9162.5,2.0513893852194127e-05,8.652677210434553e-06
2020-01-11,22.0,9.0,16541.0,14548.0,2.7452801770555973e-06,4.063522794331115e-06
2020-01-12,93.0,13.0,5539.5,9283.5,1.3764547498641308e-05,8.259311897665855e-06
2020-01-13,107.0,7.0,4887.5,14763.5,1.9605421650322096e-05,4.607748917179005e-06
2020-01-14,28.0,11.0,11409.0,10068.5,6.298599034109837e-06,7.786932536140216e-06
2020-01-15,70.0,15.0,5510.5,7751.5,1.709160047944381e-05,1.1059915988878148e-05
2020-01-16,21.0,8.0,13934.0,13055.5,4.734865565893094e-06,5.594120020446509e-06
2020-01-17,20.0,9.0,13371.0,11949.0,4.6109159284782386e-06,6.1124320755985615e-06
2020-01-18,20.0,8.0,12345.5,12632.0,5.712137950416357e-06,6.020061856135573e-06
2020-01-19,20.0,16.0,12379.0,7402.0,5.8910873445010675e-06,1.1786693265304467e-05
2020-01-20,49.0,32.0,6360.5,4240.5,1.4488125650487274e-05,2.374491432167087e-05
2020-01-21,80.0,34.0,4187.0,3936.5,2.4671894641141125e-05,2.5879838388020985e-05
2020-01-22,210.0,68.0,1692.0,2076.0,6.968169402170884e-05,5.410084397316598e-05
2020-01-23,861.0,378.0,441.0,369.5,0.00026194217497189676,0.0002971494874171342
2020-01-24,1433.0,482.0,222.0,293.5,0.00045155931340296106,0.00037443174932648887
2020-01-25,1953.0,569.0,146.0,232.5,0.0006369270958179034,0.00044165805730998417
2020-01-26,1329.0,412.0,292.0,366.0,0.00039096342035627976,0.0003071026430952965
2020-01-27,694.0,243.0,520.0,670.5,0.0002189422941934548,0.00018348014261617007
2020-01-28,777.0,260.0,467.5,605.0,0.00024279042124606803,0.00019949971609655787
2020-01-29,761.0,286.0,478.5,540.0,0.0002326256744157611,0.00021823165213569431
2020-01-30,1708.0,584.0,164.0,221.5,0.0005710109635442262,0.00047278261714322724
2020-01-31,2377.0,809.0,117.0,162.0,0.0008029412579390521,0.0006244654606532727
2020-02-01,1331.0,477.0,246.0,295.5,0.0004277190204173972,0.0003626105220907346
2020-02-02,1332.0,486.0,226.0,286.0,0.0004463800986861948,0.00037918478392318935
2020-02-03,1294.0,408.0,249.0,347.0,0.0004182512701069288,0.00031648343465198845
2020-02-04,999.0,288.0,325.5,529.5,0.00033662579645360176,0.00022320701986077465
2020-02-05,613.0,197.0,577.5,767.0,0.00019922008424442131,0.00015380903788152645
2020-02-06,466.0,166.0,705.5,876.0,0.0001642138543634546,0.00013407586594028776
