#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,3.0,0.0,44206.5,172309.5,1.5984509944230048e-06,0.0
2020-01-21,3.0,2.0,45021.0,35602.0,1.543882545532956e-06,2.570215062745375e-06
2020-01-22,8.0,4.0,20087.5,17515.0,4.242404637372509e-06,5.1001412739132885e-06
2020-01-23,6.0,1.0,26528.5,99632.0,3.018348540779398e-06,1.2162905085553872e-06
2020-01-24,12.0,1.0,14584.5,99065.5,6.297543170970424e-06,1.2345511357253174e-06
2020-01-25,35.0,8.0,4999.0,8596.0,2.003212007367241e-05,1.050533276954714e-05
2020-01-26,59.0,16.0,2855.0,4195.5,3.3818330222811214e-05,2.1024829009007824e-05
2020-01-27,60.0,10.0,2993.5,6707.5,3.2684278045153335e-05,1.3170528045980948e-05
2020-01-28,94.0,29.0,2185.5,2434.5,4.347999041589999e-05,3.485715178606844e-05
2020-01-29,34.0,13.0,6109.5,5776.5,1.656685138705963e-05,1.5041682817191486e-05
2020-01-30,62.0,16.0,2844.0,4365.0,3.3633375592042346e-05,1.997650263877115e-05
2020-01-31,58.0,20.0,2964.0,3620.5,3.203605713465086e-05,2.4579868596022493e-05
2020-02-01,18.0,4.0,9318.5,17268.0,1.037249353015716e-05,5.158880626081753e-06
2020-02-02,43.0,16.0,3992.0,4385.0,2.3942733436082933e-05,2.0085388005759485e-05
2020-02-03,51.0,17.0,3336.0,3950.0,2.829976666564936e-05,2.182570760227912e-05
2020-02-04,31.0,11.0,6279.5,6788.0,1.5395021349418318e-05,1.2846475277542261e-05
2020-02-05,49.0,14.0,3769.5,5214.0,2.5477892468734986e-05,1.6644216788545925e-05
