#coronavirusoutbreak,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,2.0,2.0,64761.0,36835.0,1.0696542823876608e-06,2.4876766716876274e-06
2020-02-22,,,,,,
2020-02-23,4.0,0.0,37070.5,178839.0,2.041028760136259e-06,0.0
2020-02-24,,,,,,
2020-02-25,1.0,0.0,142001.5,179531.0,5.110023925132018e-07,0.0
2020-02-26,1.0,1.0,140515.0,98150.0,5.16045665913068e-07,1.2611008401453794e-06
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,1.0,0.0,146040.0,180094.0,4.728774070051113e-07,0.0
2020-03-09,2.0,0.0,65774.0,178212.5,9.931413657282805e-07,0.0
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-14,,,,,,
2020-03-15,,,,,,
2020-03-16,,,,,,
2020-03-17,,,,,,
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
