#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,1.0,0.0,141840.0,179015.5,4.963163401236024e-07,0.0
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,1.0,0.0,141181.5,178154.0,5.234667527943963e-07,0.0
2020-02-23,,,,,,
2020-02-24,2.0,1.0,65560.5,99507.5,1.0214207247286468e-06,1.2371751332746912e-06
2020-02-25,2.0,0.0,65709.0,179531.0,1.0220047850264035e-06,0.0
2020-02-26,1.0,1.0,140515.0,98150.0,5.16045665913068e-07,1.2611008401453794e-06
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,1.0,1.0,140449.5,98250.0,5.136222903856071e-07,1.2587847440324164e-06
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,1.0,0.0,141318.0,179626.5,5.161415528531533e-07,0.0
2020-03-07,,,,,,
2020-03-08,1.0,0.0,146040.0,180094.0,4.728774070051113e-07,0.0
2020-03-09,16.0,1.0,11785.0,99192.0,7.945130925826244e-06,1.195953372169926e-06
2020-03-10,9.0,1.0,19836.5,101254.0,4.204167451055317e-06,1.1240286987007352e-06
2020-03-11,1.0,0.0,149082.5,189347.5,4.046631765816564e-07,0.0
2020-03-12,1.0,1.0,155696.0,111154.0,3.683489531706925e-07,9.4045508621622e-07
2020-03-13,,,,,,
2020-03-14,1.0,1.0,158268.0,114090.5,3.674147230427818e-07,9.340120487554287e-07
2020-03-15,1.0,1.0,162325.0,115075.0,3.6399797908322014e-07,9.362743583477754e-07
2020-03-16,1.0,0.0,158566.0,201237.5,4.095072849298453e-07,0.0
2020-03-17,15.0,3.0,14475.0,29320.0,6.087232476278055e-06,2.843197649623276e-06
2020-03-18,2.0,1.0,75020.5,117067.0,8.088232915225613e-07,9.39990092504425e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
