#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,12.0,3.0,15760.0,24881.5,5.860903184717109e-06,3.5685949371154093e-06
2020-02-12,24.0,9.0,7968.0,7927.5,1.215368332565288e-05,1.1059282670349816e-05
2020-02-13,21.0,5.0,9198.0,14712.5,1.0621547680886225e-05,6.0319087975389826e-06
2020-02-14,17.0,3.0,11232.0,24573.0,8.448804469318166e-06,3.5966522360986397e-06
2020-02-15,18.0,3.0,10488.5,24209.0,8.921070825868131e-06,3.6217449567201483e-06
2020-02-16,14.0,5.0,13485.5,14511.0,6.847351982259489e-06,6.114457757657135e-06
2020-02-17,17.0,4.0,11370.0,18142.0,8.275792236722708e-06,4.876270725674418e-06
2020-02-18,13.0,4.0,14162.0,18180.5,6.4521124216068335e-06,4.855753764726591e-06
2020-02-19,14.0,4.0,13286.0,18172.5,7.075431171721725e-06,4.901654430911794e-06
2020-02-20,23.0,5.0,8289.0,14574.0,1.1734729800193264e-05,6.011674672213439e-06
2020-02-21,12.0,2.0,14919.5,36835.0,6.417925694325966e-06,2.4876766716876274e-06
2020-02-22,11.0,3.0,16148.0,24111.5,5.75813428073836e-06,3.662100434325112e-06
2020-02-23,20.0,2.0,9459.5,37254.0,1.0205143800681296e-05,2.39247900300615e-06
2020-02-24,22.0,8.0,8784.0,8819.5,1.1235627972015117e-05,9.89740106619753e-06
2020-02-25,21.0,8.0,9068.5,8848.0,1.0731050242777237e-05,9.840364683915186e-06
2020-02-26,31.0,5.0,6233.5,14096.0,1.5997415643305106e-05,6.3055042007268974e-06
2020-02-27,26.0,13.0,7472.5,5317.5,1.3210630289333125e-05,1.6305090825627083e-05
2020-02-28,25.0,6.0,7525.0,12048.5,1.3274775643016858e-05,7.474288447739775e-06
2020-02-29,39.0,13.0,5121.0,5534.0,1.942521293021865e-05,1.5648661076483434e-05
2020-03-01,44.0,15.0,4833.5,5019.0,2.1235357255928527e-05,1.745393615350155e-05
2020-03-02,29.0,11.0,6522.0,6342.5,1.4895046421182604e-05,1.3846632184356573e-05
2020-03-03,24.0,10.0,7977.5,7109.0,1.2352725912055795e-05,1.2178903216691915e-05
2020-03-04,28.0,10.0,6884.5,7149.5,1.4144736011234964e-05,1.2078067799025785e-05
2020-03-05,17.0,5.0,10428.0,13603.5,9.296053606513362e-06,6.553414918980131e-06
2020-03-06,19.0,9.0,9880.5,8245.0,9.806689504209908e-06,1.077831403216728e-05
2020-03-07,27.0,8.0,7131.0,9360.0,1.3274538599162525e-05,9.3003898025876e-06
2020-03-08,31.0,10.0,6559.0,7990.5,1.4659199617158457e-05,1.09514751089398e-05
2020-03-09,64.0,7.0,3050.5,10508.0,3.1780523703304976e-05,8.37167360518948e-06
2020-03-10,27.0,4.0,7669.5,19137.5,1.2612502353165948e-05,4.496114794802941e-06
2020-03-11,23.0,9.0,9610.0,9625.0,9.307253061378096e-06,8.967680479551695e-06
2020-03-12,27.0,3.0,9239.0,28843.0,9.9454217356087e-06,2.8213652586486597e-06
2020-03-13,22.0,10.0,11359.5,9601.0,7.900215963176376e-06,9.075645505286562e-06
2020-03-14,22.0,5.0,11244.5,18071.0,8.083123906941199e-06,4.6700602437771445e-06
2020-03-15,95.0,6.0,2796.0,15165.0,3.4579808012905915e-05,5.6176461500866524e-06
2020-03-16,45.0,6.0,5302.0,14656.0,1.842782782184304e-05,5.7866630917948016e-06
2020-03-17,26.0,7.0,8928.0,12795.0,1.0551202958881964e-05,6.634127849120978e-06
2020-03-18,30.0,9.0,7890.0,10240.0,1.213234937283842e-05,8.459910832539825e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
