covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,3.0,2.0,46605.0,36819.0,1.5321310870929703e-06,2.4743502665493824e-06
2020-02-25,2.0,1.0,65709.0,99783.5,1.0220047850264035e-06,1.2300455854893982e-06
2020-02-26,21.0,1.0,9056.0,98150.0,1.0836958984174427e-05,1.2611008401453794e-06
2020-02-27,5.0,0.0,30207.5,176620.5,2.540505824871756e-06,0.0
2020-02-28,1.0,1.0,140433.0,99212.5,5.309910257206743e-07,1.2457147412899625e-06
2020-02-29,2.0,1.0,66473.0,100697.5,9.96164765652239e-07,1.2037431597294948e-06
2020-03-01,1.0,1.0,146951.0,102641.5,4.826217558165574e-07,1.16359574356677e-06
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,1.0,1.0,141963.5,100559.5,5.051691432583915e-07,1.2078067799025782e-06
2020-03-05,3.0,2.0,44037.0,35181.0,1.6404800482082403e-06,2.6213659675920526e-06
2020-03-06,,,,,,
2020-03-07,3.0,3.0,47073.0,24923.5,1.4749487332402803e-06,3.4876461759703505e-06
2020-03-08,1.0,1.0,146040.0,103775.0,4.728774070051113e-07,1.0951475108939798e-06
2020-03-09,5.0,3.0,31395.0,24313.0,2.4828534143207013e-06,3.587860116509778e-06
2020-03-10,15.0,5.0,12952.0,15379.0,7.0069457517588605e-06,5.620143493503677e-06
2020-03-11,7.0,6.0,25718.0,14214.0,2.832642236071595e-06,5.978453653034463e-06
2020-03-12,39.0,8.0,6668.5,11267.5,1.4365609173657007e-05,7.52364068972976e-06
2020-03-13,9.0,6.0,23424.5,15666.0,3.2319065303903353e-06,5.445387303171938e-06
2020-03-14,13.0,9.0,17306.0,10283.0,4.776391399556163e-06,8.40610843879886e-06
2020-03-15,15.0,8.0,15592.5,11426.0,5.4599696862483015e-06,7.490194866782202e-06
2020-03-16,3.0,2.0,52448.0,43274.0,1.2285218547895358e-06,1.9288876972649337e-06
2020-03-17,28.0,9.0,8357.0,10094.0,1.1362833955719036e-05,8.529592948869826e-06
2020-03-18,17.0,7.0,13134.5,13131.5,6.874997977941771e-06,6.579930647530976e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
