wirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,19.0,1.0,6917.0,82202.0,1.385459673644036e-05,1.533838784340733e-06
2020-01-02,6.0,4.0,23543.5,16634.0,3.635726833300106e-06,5.3485445941591205e-06
2020-01-03,3.0,2.0,44607.5,36388.5,1.7255749184234452e-06,2.5084818041001136e-06
2020-01-04,1.0,0.0,139456.5,177497.0,5.404879525235382e-07,0.0
2020-01-05,1.0,0.0,139059.5,176793.0,5.48393836711348e-07,0.0
2020-01-06,2.0,1.0,64164.0,96936.0,1.024038274454546e-06,1.2140253925551106e-06
2020-01-07,8.0,4.0,20668.5,17838.0,4.124827595096611e-06,4.905315154235372e-06
2020-01-08,8.0,2.0,20029.5,35501.5,4.332828378292746e-06,2.5461457082804482e-06
2020-01-09,7.0,0.0,22714.5,175271.0,3.753763818543057e-06,0.0
2020-01-10,4.0,1.0,34042.5,95543.5,2.3921957007458864e-06,1.321267518355709e-06
2020-01-11,4.0,2.0,35205.0,36612.0,2.1730013277038107e-06,2.475192384328072e-06
2020-01-12,6.0,3.0,26433.0,23723.5,2.8291957916655663e-06,3.7219735392494524e-06
2020-01-13,92.0,4.0,1851.5,17743.5,4.912677163420206e-05,4.918343206907322e-06
2020-01-14,42.0,1.0,4085.5,96234.5,2.329395361064601e-05,1.2867098314924805e-06
2020-01-15,18.0,4.0,9895.5,17645.0,9.317705815180198e-06,5.0893045719767614e-06
2020-01-16,3.0,1.0,45155.0,98938.0,1.5289179541854638e-06,1.2399963296108644e-06
2020-01-17,,,,,,
2020-01-18,6.0,4.0,24835.5,17847.5,3.257769372732796e-06,4.9206726067386145e-06
2020-01-19,4.0,2.0,35224.0,36592.0,2.1804021097570813e-06,2.454680461970863e-06
2020-01-20,16.0,10.0,10702.0,6672.5,8.525071970256024e-06,1.3043064285350945e-05
2020-01-21,22.0,9.0,8190.0,7625.5,1.1321805333908346e-05,1.1565967782354188e-05
2020-01-22,71.0,21.0,2369.5,3183.5,3.765134115668102e-05,2.677574168804476e-05
2020-01-23,106.0,25.0,1661.5,2846.0,5.332415755376936e-05,3.0407262713884693e-05
2020-01-24,114.0,42.0,1531.5,1624.0,5.982666012421904e-05,5.185114770046333e-05
2020-01-25,120.0,46.0,1228.0,1372.0,6.868155453830541e-05,6.0405663424896055e-05
2020-01-26,97.0,41.0,1605.0,1581.0,5.559962765445233e-05,5.387612433558255e-05
2020-01-27,92.0,50.0,1782.5,1282.0,5.011589300256844e-05,6.585264022990474e-05
2020-01-28,119.0,49.0,1617.5,1425.5,5.5043817654171266e-05,5.8896566810943226e-05
2020-01-29,117.0,52.0,1536.0,1399.5,5.7009459184881676e-05,6.0166731268765945e-05
2020-01-30,98.0,59.0,1657.0,1081.0,5.316243238742177e-05,7.366335348046859e-05
2020-01-31,123.0,53.0,1236.0,1280.5,6.793853495796649e-05,6.513665177945958e-05
2020-02-01,70.0,42.0,2247.0,1509.0,4.0337474839500067e-05,5.416824657385841e-05
2020-02-02,71.0,38.0,2364.0,1748.0,3.95333505572532e-05,4.7702796513678776e-05
2020-02-03,38.0,26.0,4584.5,2529.0,2.1086100652836774e-05,3.33804939799563e-05
2020-02-04,40.0,24.0,4921.0,3029.5,1.9864543676668794e-05,2.8028673332819483e-05
2020-02-05,44.0,22.0,4242.5,3297.5,2.287810752294571e-05,2.6155197810572172e-05
2020-02-06,28.0,20.0,6414.0,3506.5,1.528400965076038e-05,2.478965973713045e-05
2020-02-07,25.0,17.0,6842.0,3960.0,1.4610723569785493e-05,2.2727151191704848e-05
2020-02-08,23.0,14.0,7404.5,4936.0,1.299368224571505e-05,1.7722999643008152e-05
2020-02-09,35.0,12.0,4901.5,5946.0,1.9801106372674926e-05,1.4485143674518827e-05
2020-02-10,38.0,13.0,4913.0,5507.0,1.9741377563716595e-05,1.5843630677656462e-05
2020-02-11,37.0,19.0,5408.5,3824.5,1.807111815287775e-05,2.2601101268397594e-05
2020-02-12,42.0,20.0,4623.5,3460.0,2.126894581989254e-05,2.457618371188848e-05
2020-02-13,21.0,9.0,9198.0,8245.5,1.0621547680886225e-05,1.0857435835570167e-05
2020-02-14,22.0,14.0,8776.0,5284.0,1.0933746960294098e-05,1.678437710179365e-05
2020-02-15,21.0,14.0,9097.0,5234.5,1.040791596351282e-05,1.6901476464694023e-05
2020-02-16,27.0,6.0,7375.0,12103.5,1.3205607394357588e-05,7.337349309188562e-06
2020-02-17,28.0,17.0,7109.5,4217.0,1.3630716625190345e-05,2.0724150584116282e-05
2020-02-18,28.0,17.0,7057.5,4186.5,1.3896857523460876e-05,2.0636953500088002e-05
