#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,61.0,5.0,30267.5,81804.5,1.2558719993846638e-06,3.102535124886036e-07
2020-01-21,57.0,11.0,32886.5,46490.5,1.1184831359331604e-06,6.369126919502863e-07
2020-01-22,314.0,44.0,10138.5,17223.5,6.401208026193417e-06,2.605185550788329e-06
2020-01-23,404.0,52.0,8550.0,15398.0,8.21731895975088e-06,3.044017428638865e-06
2020-01-24,1072.0,11.0,3807.0,44385.5,2.263997863732165e-05,6.887470626503111e-07
2020-01-25,518.0,42.0,6299.0,15524.0,1.1843937060038036e-05,2.979963364898004e-06
2020-01-26,322.0,42.0,9872.5,16382.5,6.51576070443872e-06,2.6885451078977156e-06
2020-01-27,435.0,63.0,7993.0,12782.0,8.598508536312657e-06,3.8388845736982665e-06
2020-01-28,1450.0,178.0,3169.0,6297.5,2.7977598394849934e-05,1.0189557249426336e-05
2020-01-29,840.0,121.0,5036.0,8411.0,1.619173013166286e-05,6.922843931749685e-06
2020-01-30,553.0,130.0,7040.0,7977.0,1.0312966840081785e-05,7.416188935742087e-06
2020-01-31,301.0,95.0,10096.5,9383.5,6.380696159812993e-06,5.962549415412826e-06
2020-02-01,184.0,52.0,13550.0,13664.5,4.062067867175503e-06,3.5492520838546295e-06
2020-02-02,251.0,54.0,11413.0,14217.0,5.181431969026513e-06,3.3229421649915864e-06
2020-02-03,193.0,59.0,14781.5,13901.5,3.5081336988651116e-06,3.380914257664977e-06
2020-02-04,134.0,45.0,19369.0,17238.0,2.3675615654790583e-06,2.5034691127822294e-06
2020-02-05,230.0,48.0,13271.0,16213.5,4.21307104926681e-06,2.7440089994348485e-06
