#coronavirusoutbreak,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,1.0,1.0,813767.5,515906.0,2.023528169080348e-08,6.401297875946944e-08
2020-01-27,2.0,0.0,361355.5,1068485.5,3.953337258074785e-08,0.0
2020-01-28,,,,,,
2020-01-29,1.0,1.0,902580.5,593872.5,1.927586920436055e-08,5.721358621280731e-08
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,3.0,2.0,225710.5,177767.5,6.622936739960059e-08,1.365096955328704e-07
2020-02-02,3.0,1.0,239825.5,538626.0,6.192946576525715e-08,6.15359660183627e-08
2020-02-03,,,,,,
2020-02-04,1.0,0.0,890514.0,1113869.0,1.7668369891634762e-08,0.0
2020-02-05,1.0,1.0,879081.5,568896.0,1.8317700214203524e-08,5.716685415489267e-08
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,1.0,0.0,857453.0,1071722.0,2.0122922886745977e-08,0.0
2020-02-11,1.0,1.0,862285.5,561532.5,1.9956957632057485e-08,6.111728633381418e-08
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,1.0,1.0,960778.5,620990.0,1.6565202592096397e-08,5.0355918147260746e-08
2020-02-27,1.0,0.0,959395.0,1197083.5,1.7078576017706794e-08,0.0
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,1.0,1.0,930706.0,608485.0,1.772890713910469e-08,5.33841180006815e-08
2020-03-03,,,,,,
2020-03-04,1.0,1.0,885582.0,583358.5,1.883912377351417e-08,5.73126302536984e-08
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,2.0,2.0,338231.0,182031.0,4.081608246709872e-08,1.3111490411960403e-07
2020-03-08,1.0,1.0,868204.0,557181.0,1.7742295080128995e-08,5.811660585538753e-08
2020-03-09,,,,,,
2020-03-10,3.0,3.0,248260.0,128370.5,5.585588541083187e-08,1.7416847037469793e-07
2020-03-11,,,,,,
2020-03-12,1.0,1.0,903031.0,586077.0,1.7272733192564003e-08,5.49291375674983e-08
2020-03-13,2.0,2.0,359491.5,193571.0,3.6044873849429606e-08,1.1509556615048606e-07
2020-03-14,,,,,,
2020-03-15,2.0,2.0,406770.5,221022.0,3.11320964271234e-08,9.810573040967137e-08
2020-03-16,,,,,,
2020-03-17,,,,,,
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
