#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,1.0,1.0,765291.0,495333.0,2.2514443184160958e-08,7.019188073669468e-08
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,2.0,0.0,345920.5,1036718.5,4.174162157475819e-08,0.0
2020-02-22,1.0,1.0,732319.0,467469.5,2.471788428159336e-08,7.803836522111e-08
2020-02-23,1.0,1.0,739988.5,477310.0,2.4657427577868096e-08,7.433369689944486e-08
2020-02-24,,,,,,
2020-02-25,1.0,1.0,843991.5,546102.5,1.998114619007797e-08,6.055397317931309e-08
2020-02-26,,,,,,
2020-02-27,1.0,0.0,959395.0,1197083.5,1.7078576017706794e-08,0.0
2020-02-28,,,,,,
2020-02-29,3.0,1.0,253006.5,578523.5,5.7265230212906394e-08,5.901821662176068e-08
2020-03-01,1.0,0.0,965433.0,1199998.0,1.6775042949981216e-08,0.0
2020-03-02,1.0,1.0,930706.0,608485.0,1.772890713910469e-08,5.33841180006815e-08
2020-03-03,,,,,,
2020-03-04,2.0,2.0,368808.5,202437.0,3.767824754702834e-08,1.1462526050739677e-07
2020-03-05,2.0,2.0,370224.0,202108.0,3.662677040759864e-08,1.1296150209879644e-07
2020-03-06,3.0,2.0,236431.0,189997.5,5.8874987305080855e-08,1.206789397148357e-07
2020-03-07,1.0,1.0,809144.0,523455.0,2.040804123354936e-08,6.555745205980202e-08
2020-03-08,3.0,1.0,250610.0,557181.0,5.3226885240387e-08,5.811660585538753e-08
2020-03-09,,,,,,
2020-03-10,1.0,1.0,883521.5,573586.5,1.8618628470277288e-08,5.805615679156598e-08
2020-03-11,9.0,1.0,104840.0,563161.0,1.7381063123154565e-07,5.958734097926313e-08
2020-03-12,9.0,6.0,110475.0,73502.5,1.554545987330761e-07,3.2957482540498984e-07
2020-03-13,8.0,5.0,113638.5,81265.5,1.4417949539771842e-07,2.877389153762152e-07
2020-03-14,18.0,9.0,65119.5,50692.5,3.438544254847784e-07,5.574469869463877e-07
2020-03-15,15.0,5.0,83177.5,91465.5,2.334907232034255e-07,2.4526432602417843e-07
2020-03-16,15.0,10.0,81550.0,54041.5,2.279218036759077e-07,4.783552157724047e-07
2020-03-17,19.0,14.0,73527.5,44465.5,2.7355332261177076e-07,6.222284998164203e-07
2020-03-18,31.0,14.0,53938.5,45893.0,4.537839624725933e-07,5.959117643666132e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
