#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,3.0,3.0,241193.5,125325.5,5.987087289617244e-08,1.8335185900144253e-07
2020-02-12,4.0,0.0,192704.0,1089918.0,7.525712726386608e-08,0.0
2020-02-13,5.0,4.0,156372.5,96237.0,1.0274507932752359e-07,2.45679525922046e-07
2020-02-14,2.0,2.0,338329.0,184975.0,4.3213767249396405e-08,1.3015345026709766e-07
2020-02-15,1.0,1.0,765291.0,495333.0,2.2514443184160958e-08,7.019188073669468e-08
2020-02-16,1.0,1.0,824545.5,534829.5,2.056728183132394e-08,6.307364295638023e-08
2020-02-17,6.0,2.0,138505.5,192326.5,1.2083405951246598e-07,1.2240145535330416e-07
2020-02-18,5.0,0.0,162382.0,1092336.5,9.528357000247583e-08,0.0
2020-02-19,15.0,4.0,76679.5,101864.0,2.870624567719823e-07,2.3340521046789688e-07
2020-02-20,3.0,1.0,247816.0,571060.0,5.874606523750544e-08,5.966734500482291e-08
2020-02-21,1.0,1.0,828223.5,534655.5,2.087081078737909e-08,6.596500569640808e-08
2020-02-22,1.0,1.0,732319.0,467469.5,2.471788428159336e-08,7.803836522111e-08
2020-02-23,4.0,3.0,166774.0,111691.0,9.862971031147238e-08,2.230010906983346e-07
2020-02-24,6.0,3.0,129605.5,120180.0,1.310209103476974e-07,2.0100990054164129e-07
2020-02-25,30.0,6.0,47145.0,69872.5,5.99434385702339e-07,3.6332383907587854e-07
2020-02-26,35.0,4.0,47757.0,110097.5,5.79782090723374e-07,2.0142367258904298e-07
2020-02-27,24.0,10.0,60090.5,52300.0,4.098858244249631e-07,5.223140665080262e-07
2020-02-28,21.0,12.0,63739.5,44906.5,3.7591952601202005e-07,6.566729794829094e-07
2020-02-29,21.0,12.0,60846.5,43031.5,4.0085661149034477e-07,7.082185994611281e-07
2020-03-01,26.0,9.0,57126.5,56720.0,4.361511166995117e-07,4.5831665994299145e-07
2020-03-02,481.0,7.0,8044.0,66040.0,8.527604333909358e-06,3.7368882600477047e-07
2020-03-03,391.0,12.0,9258.5,44386.0,7.026185623450252e-06,6.435575863372725e-07
2020-03-04,84.0,9.0,25307.0,53263.5,1.5824863969751904e-06,5.158136722832853e-07
2020-03-05,196.0,7.0,14526.0,63650.0,3.5894234999446663e-06,3.9536525734578757e-07
2020-03-06,50.0,9.0,34020.0,50649.0,9.812497884180144e-07,5.430552287167605e-07
2020-03-07,15.0,7.0,72297.0,59422.0,3.061206185032404e-07,4.589021644186143e-07
2020-03-08,25.0,9.0,55002.5,51980.0,4.4355737700322497e-07,5.230494526984879e-07
2020-03-09,36.0,12.0,43421.0,42702.5,6.703467461648252e-07,6.929306236127311e-07
2020-03-10,74.0,26.0,27775.5,24926.0,1.3777785068005191e-06,1.5094600765807153e-06
2020-03-11,377.0,36.0,9124.0,19886.5,7.2807342193658566e-06,2.1451442752534727e-06
2020-03-12,708.0,52.0,6190.5,15957.0,1.2229095100335319e-05,2.8563151535099116e-06
2020-03-13,453.0,50.0,8096.5,15597.0,8.164163926895805e-06,2.877389153762152e-06
2020-03-14,276.0,54.0,11081.5,14110.5,5.272434524099936e-06,3.3446819216783267e-06
2020-03-15,554.0,59.0,7974.0,15459.5,8.62359071031318e-06,2.8941190470853057e-06
2020-03-16,593.0,153.0,7526.5,7930.5,9.010508638654216e-06,7.318834801317792e-06
2020-03-17,656.0,173.0,7362.0,7653.5,9.44478840175377e-06,7.688966462017195e-06
2020-03-18,630.0,186.0,7354.0,7484.5,9.22206117283012e-06,7.91711344087072e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
