#covid_19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,1.0,1.0,843991.5,546102.5,1.998114619007797e-08,6.055397317931309e-08
2020-02-26,2.0,0.0,409458.5,1193279.5,3.3130405184192787e-08,0.0
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,1.0,1.0,927932.0,606013.0,1.7969784203197575e-08,5.362979886143936e-08
2020-03-04,1.0,1.0,885582.0,583358.5,1.883912377351417e-08,5.73126302536984e-08
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,2.0,1.0,338231.0,523455.0,4.081608246709872e-08,6.555745205980202e-08
2020-03-08,1.0,1.0,868204.0,557181.0,1.7742295080128995e-08,5.811660585538753e-08
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,2.0,2.0,360894.0,194519.5,3.862458471812127e-08,1.1917468195852625e-07
2020-03-12,36.0,7.0,45542.5,65319.5,6.218183949323044e-07,3.845039629724881e-07
2020-03-13,23.0,17.0,57091.0,33225.5,4.1451604926844046e-07,9.783123122791312e-07
2020-03-14,20.0,11.0,60931.0,43924.5,3.820604727608649e-07,6.813240951566961e-07
2020-03-15,30.0,15.0,53260.5,40061.0,4.66981446406851e-07,7.357929780725355e-07
2020-03-16,223.0,33.0,14661.0,23557.5,3.3884374813151606e-06,1.5785722120489356e-06
2020-03-17,166.0,51.0,18918.5,18269.5,2.3899921870291563e-06,2.2666895350455315e-06
2020-03-18,105.0,47.0,25118.0,19992.5,1.537010195471687e-06,2.000560923230773e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
