covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,10.0,6.0,96373.5,69793.5,1.9956957632057484e-07,3.6670371800288506e-07
2020-02-12,10.0,6.0,99874.0,71474.5,1.8814281815966523e-07,3.521247028507664e-07
2020-02-13,4.0,3.0,186157.5,124955.0,8.219606346201887e-08,1.842596444415345e-07
2020-02-14,1.0,0.0,818019.5,1031814.0,2.1606883624698202e-08,0.0
2020-02-15,13.0,3.0,76073.5,114285.5,2.926877613940925e-07,2.10575642210084e-07
2020-02-16,9.0,5.0,103076.0,79467.0,1.8510553648191548e-07,3.1536821478190107e-07
2020-02-17,5.0,2.0,158566.0,192326.5,1.0069504959372164e-07,1.2240145535330416e-07
2020-02-18,5.0,4.0,162382.0,99829.5,9.528357000247583e-08,2.3257913926763267e-07
2020-02-19,2.0,2.0,369367.0,201699.0,3.827499423626431e-08,1.1670260523394844e-07
2020-02-20,2.0,2.0,365654.0,198393.0,3.9164043491670296e-08,1.1933469000964582e-07
2020-02-21,13.0,8.0,80115.0,54302.0,2.7132054023592824e-07,5.277200455712647e-07
2020-02-22,4.0,3.0,167079.0,108326.5,9.887153712637344e-08,2.3411509566332998e-07
2020-02-23,4.0,3.0,166774.0,111691.0,9.862971031147238e-08,2.230010906983346e-07
2020-02-24,6.0,5.0,129605.5,77279.5,1.310209103476974e-07,3.350165009027356e-07
2020-02-25,34.0,23.0,43538.0,26098.0,6.793589704626508e-07,1.3927413831242012e-06
2020-02-26,111.0,45.0,22946.0,18489.0,1.8387374877227002e-06,2.266016316626733e-06
2020-02-27,71.0,41.0,30203.0,19323.0,1.2125788972571823e-06,2.1414876726829063e-06
2020-02-28,84.0,44.0,26325.5,17793.5,1.5036781040480802e-06,2.407800924770668e-06
2020-02-29,61.0,21.0,30794.5,28804.0,1.1643930143290967e-06,1.2393825490569745e-06
2020-03-01,31.0,14.0,51159.0,41040.0,5.200263314494178e-07,7.129370265779871e-07
2020-03-02,119.0,29.0,20766.5,23840.0,2.1097399495534584e-06,1.5481394220197637e-06
2020-03-03,58.0,25.0,33363.5,26510.0,1.042247483785459e-06,1.3407449715359844e-06
2020-03-04,138.0,34.0,18421.0,20868.5,2.5997990807449554e-06,1.9486294286257446e-06
2020-03-05,407.0,36.0,8726.0,19875.0,7.453547777946323e-06,2.033307037778336e-06
2020-03-06,181.0,35.0,14707.0,19359.5,3.5521242340732115e-06,2.111881445009624e-06
2020-03-07,149.0,22.0,16272.5,25938.5,3.0407981437988545e-06,1.4422639453156446e-06
2020-03-08,341.0,33.0,9947.0,20609.0,6.0501226223239876e-06,1.9178479932277883e-06
2020-03-09,234.0,63.0,12902.0,13264.0,4.357253850071364e-06,3.637885773966839e-06
2020-03-10,996.0,97.0,4427.5,9699.5,1.854415395639618e-05,5.6314472087819e-06
2020-03-11,1668.0,200.0,2814.5,5650.5,3.221290365491313e-05,1.1917468195852628e-05
2020-03-12,2062.0,386.0,2557.0,3606.5,3.5616375843066995e-05,2.1202647101054345e-05
2020-03-13,3369.0,380.0,1591.0,3522.5,6.071758999936417e-05,2.1868157568592354e-05
2020-03-14,2136.0,261.0,2220.0,4402.0,4.080405849086037e-05,1.6165962621445244e-05
2020-03-15,1897.0,431.0,2914.0,3568.0,2.952879346112653e-05,2.1141784903284186e-05
2020-03-16,3923.0,794.0,1649.0,2311.5,5.9609149054705723e-05,3.7981404132328935e-05
2020-03-17,4071.0,911.0,1630.0,2191.0,5.861239875539573e-05,4.048929738091136e-05
2020-03-18,2749.0,904.0,2322.5,2306.0,4.024039073668255e-05,3.847887392767274e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
