#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,1.0,1.0,281584.5,209629.5,2.42030949465632e-07,4.6155585864390277e-07
2020-01-21,4.0,3.0,69196.0,53018.0,9.70613699630002e-07,1.3786143822566814e-06
2020-01-22,4.0,2.0,69670.5,78612.0,9.439340907460476e-07,9.220039941213024e-07
2020-01-23,12.0,4.0,28058.5,39707.5,2.8508296270568434e-06,1.8668549701046515e-06
2020-01-24,17.0,9.0,20787.5,18109.5,4.078440404389362e-06,4.219421151676938e-06
2020-01-25,32.0,12.0,10549.5,12357.5,8.304279169104968e-06,6.148145719251072e-06
2020-01-26,27.0,12.0,12971.0,13082.5,6.6136075710619885e-06,5.7333997770663044e-06
2020-01-27,25.0,17.0,14969.0,9979.5,5.676963088158923e-06,7.725011405752133e-06
2020-01-28,51.0,27.0,7540.5,6280.5,1.1575986591829805e-05,1.2455701528176179e-05
2020-01-29,24.0,15.0,15247.5,11387.5,5.394498555510627e-06,6.737306577542581e-06
2020-01-30,21.0,14.0,17065.5,12165.5,4.8351056297897766e-06,6.329185456435991e-06
2020-01-31,40.0,21.0,8992.5,8174.5,9.558196272781364e-06,9.465074550983625e-06
2020-02-01,42.0,22.0,8128.0,7059.0,1.0625562269336753e-05,1.083589043929685e-05
2020-02-02,131.0,18.0,2637.5,9184.0,3.114215394826646e-05,8.369983008934491e-06
2020-02-03,35.0,12.0,10507.5,14246.0,8.207991441175552e-06,5.411435987672749e-06
2020-02-04,37.0,13.0,9878.0,12840.0,8.772676479577093e-06,5.975863029541909e-06
2020-02-05,37.0,13.0,10023.5,12940.5,8.67441565502271e-06,5.957678485173171e-06
