#coronavirusoutbreak,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,2.0,1.0,119707.5,197374.0,4.898968571157029e-07,4.777833147555255e-07
2020-01-27,,,,,,
2020-01-28,2.0,1.0,125995.0,209962.5,4.539602585031296e-07,4.6132227882134e-07
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,1.0,1.0,286793.0,212216.5,2.362278010829628e-07,4.565163601767997e-07
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,1.0,0.0,285471.5,372927.5,2.3846684893482817e-07,0.0
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,2.0,0.0,123313.5,357111.5,4.738104810195074e-07,0.0
2020-03-02,,,,,,
2020-03-03,3.0,3.0,87780.5,51886.0,7.146079684505345e-07,1.403422104459514e-06
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,1.0,1.0,258825.0,190941.0,2.524600336832177e-07,4.906607630363658e-07
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-14,,,,,,
2020-03-15,,,,,,
2020-03-16,,,,,,
2020-03-17,,,,,,
2020-03-18,1.0,1.0,294360.0,218144.5,2.1687269572760786e-07,4.256895105847697e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
