#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,1.0,1.0,290079.5,214630.5,2.3493601987370768e-07,4.521069540379028e-07
2020-02-14,1.0,0.0,297464.0,388455.5,2.314829818341415e-07,0.0
2020-02-15,,,,,,
2020-02-16,1.0,0.0,267048.5,346549.0,2.6220161783642237e-07,0.0
2020-02-17,3.0,0.0,86148.0,367206.5,7.409280766297452e-07,0.0
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,1.0,0.0,289496.0,376856.0,2.3094949573332357e-07,0.0
2020-02-28,,,,,,
2020-02-29,1.0,0.0,272927.0,353152.0,2.379946003785066e-07,0.0
2020-03-01,,,,,,
2020-03-02,2.0,0.0,125685.0,372487.0,4.7060119066807254e-07,0.0
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,1.0,1.0,256321.5,188335.0,2.7206560916578153e-07,5.294249069006301e-07
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,1.0,0.0,286609.0,372977.5,2.1953496785898305e-07,0.0
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,1.0,1.0,284592.5,210403.0,2.324375963163289e-07,4.5227053376063864e-07
2020-03-14,2.0,2.0,120576.0,74764.0,4.7399475193010655e-07,9.547578447678317e-07
2020-03-15,1.0,1.0,276623.5,202340.0,2.2927239945488195e-07,4.6297625209612505e-07
2020-03-16,11.0,10.0,31234.0,17511.0,2.3571502653294047e-06,4.2922857752361716e-06
2020-03-17,7.0,4.0,45210.5,41851.5,1.5329275017267334e-06,1.7028718508045856e-06
2020-03-18,2.0,2.0,129054.0,81824.5,4.337453914552157e-07,8.513790211695394e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
