#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,1.0,0.0,287239.0,375413.5,2.3619516050287838e-07,0.0
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,1.0,0.0,297464.0,388455.5,2.314829818341415e-07,0.0
2020-02-15,,,,,,
2020-02-16,2.0,0.0,117595.0,346549.0,5.244032356728447e-07,0.0
2020-02-17,10.0,0.0,31734.5,367206.5,2.469760255432485e-06,0.0
2020-02-18,,,,,,
2020-02-19,4.0,0.0,68857.5,369141.5,9.669847240588214e-07,0.0
2020-02-20,4.0,1.0,70588.5,212429.0,9.296455842415778e-07,4.5229814951258104e-07
2020-02-21,11.0,1.0,29728.5,210932.0,2.62313533828311e-06,4.5398066133178864e-07
2020-02-22,5.0,3.0,53210.5,47749.5,1.324229344869313e-06,1.5272818354262183e-06
2020-02-23,22.0,4.0,14793.5,36181.0,5.604498680140561e-06,2.02679832748602e-06
2020-02-24,22.0,1.0,15423.5,200476.0,5.542661868401083e-06,4.800581446424789e-07
2020-02-25,13.0,3.0,25205.0,51955.5,3.17536774422364e-06,1.4170514748671746e-06
2020-02-26,15.0,3.0,22116.0,51542.5,3.746424973968591e-06,1.418269389869964e-06
2020-02-27,8.0,1.0,40269.5,213212.0,1.8475959658665886e-06,4.5186119366364095e-07
2020-02-28,22.0,4.0,16791.5,39775.5,5.048439779686088e-06,1.8413612078592976e-06
2020-02-29,10.0,2.0,31235.5,73552.5,2.3799460037850653e-06,9.801432773442822e-07
2020-03-01,11.0,3.0,30086.5,50654.0,2.6059576456072914e-06,1.4204323511990582e-06
2020-03-02,4.0,1.0,69941.5,210271.5,9.412023813361452e-07,4.6325550023255434e-07
2020-03-03,3.0,2.0,87780.5,77605.0,7.146079684505345e-07,9.356147363063429e-07
2020-03-04,6.0,3.0,50362.0,53347.0,1.4043576280961404e-06,1.3403615938150357e-06
2020-03-05,10.0,6.0,32488.5,27082.0,2.3388054364129084e-06,2.6616296803648918e-06
2020-03-06,11.0,5.0,28507.5,31252.0,2.7885192101088383e-06,2.373253997034382e-06
2020-03-07,7.0,2.0,39276.0,69640.5,1.904459264160471e-06,1.0588498138012602e-06
2020-03-08,10.0,5.0,29321.5,29171.5,2.524600336832177e-06,2.453303815181829e-06
2020-03-09,8.0,3.0,37529.0,49134.0,1.9522537305128467e-06,1.4597474636887819e-06
2020-03-10,4.0,3.0,70587.5,53295.0,8.78139871435932e-07,1.3441287782899904e-06
2020-03-11,7.0,1.0,44435.5,212366.0,1.5684327368658325e-06,4.4527443599313576e-07
2020-03-12,12.0,6.0,28899.5,28130.5,2.627336605389149e-06,2.6430542077202734e-06
2020-03-13,13.0,6.0,26226.5,27557.0,3.021688752112277e-06,2.713623202563831e-06
2020-03-14,18.0,6.0,19323.0,26049.0,4.26595276737096e-06,2.8642735343034938e-06
2020-03-15,13.0,7.0,26708.5,23105.0,2.980541192913465e-06,3.240833764672875e-06
2020-03-16,26.0,15.0,14982.0,11914.5,5.5714460816876835e-06,6.438428662854257e-06
2020-03-17,41.0,22.0,9756.5,8337.5,8.978575367256583e-06,9.36579517942522e-06
2020-03-18,32.0,17.0,12250.0,10680.5,6.9399262632834514e-06,7.236721679941084e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
