covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,1.0,1.0,297464.0,215809.0,2.314829818341415e-07,4.567759746799942e-07
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,2.0,0.0,124973.0,371824.0,4.6853055932006854e-07,0.0
2020-02-19,,,,,,
2020-02-20,2.0,0.0,126674.0,375448.0,4.648227921207889e-07,0.0
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,1.0,1.0,281114.5,208288.5,2.442590572479723e-07,4.723504916223917e-07
2020-02-26,1.0,1.0,281963.0,208341.0,2.4976166493123944e-07,4.7275646328998786e-07
2020-02-27,6.0,5.0,51080.0,32769.0,1.3856969743999412e-06,2.259305968318204e-06
2020-02-28,2.0,2.0,126664.5,78584.0,4.589490708805535e-07,9.206806039296488e-07
2020-02-29,4.0,1.0,67008.5,198033.5,9.519784015140264e-07,4.900716386721411e-07
2020-03-01,,,,,,
2020-03-02,1.0,0.0,285827.0,372487.0,2.353005953340363e-07,0.0
2020-03-03,,,,,,
2020-03-04,2.0,2.0,125833.0,79590.0,4.681192093653801e-07,8.935743958766903e-07
2020-03-05,1.0,0.0,287070.5,376092.0,2.3388054364129085e-07,0.0
2020-03-06,,,,,,
2020-03-07,1.0,1.0,256321.5,188335.0,2.7206560916578153e-07,5.294249069006301e-07
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,4.0,4.0,70587.5,40568.0,8.78139871435932e-07,1.7921717043866538e-06
2020-03-11,8.0,7.0,39860.5,24056.0,1.792494556418094e-06,3.1169210519519494e-06
2020-03-12,8.0,3.0,40561.5,53876.5,1.751557736926099e-06,1.3215271038601369e-06
2020-03-13,17.0,8.0,20793.0,20973.5,3.951439137377593e-06,3.6181642700851083e-06
2020-03-14,10.0,6.0,31881.0,26049.0,2.369973759650533e-06,2.8642735343034938e-06
2020-03-15,7.0,5.0,44109.0,31537.0,1.6049067961841737e-06,2.314881260480625e-06
2020-03-16,22.0,21.0,17359.5,8619.0,4.7143005306588094e-06,9.013800127995962e-06
2020-03-17,18.0,8.0,20392.0,21877.0,3.941813575868743e-06,3.405743701609171e-06
2020-03-18,45.0,9.0,8931.5,19762.5,9.759271307742358e-06,3.831205595262927e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
