вирус,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,10.0,9.0,23542.0,13255.5,3.243358250973656e-06,5.586345977303297e-06
2020-01-02,7.0,6.0,36805.5,22265.0,2.0223445965408095e-06,3.358324867556063e-06
2020-01-03,9.0,8.0,32508.0,18054.0,2.39486540856404e-06,4.214856526283845e-06
2020-01-04,13.0,11.0,24309.0,13716.5,3.306330784152299e-06,5.509644632929944e-06
2020-01-05,28.0,8.0,12920.0,19975.0,6.536208611501533e-06,3.7073612902358773e-06
2020-01-06,43.0,20.0,8203.5,8106.0,1.0347266288341735e-05,9.411414822696004e-06
2020-01-07,20.0,16.0,17370.0,10179.5,4.780300953407123e-06,7.497505907800357e-06
2020-01-08,45.0,13.0,8979.0,12406.0,9.826295122074249e-06,6.081794522361589e-06
2020-01-09,70.0,14.0,5599.5,12374.5,1.5519126991464258e-05,6.13037288868863e-06
2020-01-10,18.0,7.0,19551.0,23431.5,4.265565582004432e-06,3.1987921360894133e-06
2020-01-11,26.0,18.0,13357.5,8949.0,6.323015630981025e-06,8.545219163508497e-06
2020-01-12,10.0,9.0,32047.5,17727.5,2.4400932701251573e-06,4.273682850945338e-06
2020-01-13,15.0,12.0,23056.5,14157.0,3.4963519064208406e-06,5.369893958019064e-06
2020-01-14,21.0,13.0,16832.5,12825.5,4.948418626790267e-06,5.9967276318599685e-06
2020-01-15,16.0,9.0,22719.5,18930.5,3.5350967721694205e-06,4.001047385293306e-06
2020-01-16,25.0,17.0,14331.5,9842.5,5.8119557975188975e-06,7.815732609994944e-06
2020-01-17,21.0,10.0,16467.0,16444.5,5.093138959748195e-06,4.651664737776355e-06
2020-01-18,11.0,8.0,28259.0,19223.0,2.800458664211768e-06,3.966760530137711e-06
2020-01-19,28.0,17.0,12423.5,9356.5,6.880474123642613e-06,8.246390506367184e-06
2020-01-20,79.0,30.0,4463.0,5614.5,1.9120445007784924e-05,1.3846675759317084e-05
2020-01-21,170.0,73.0,1968.5,2301.0,4.125108223427509e-05,3.3546283301579245e-05
2020-01-22,392.0,144.0,808.5,1208.0,9.250554089311268e-05,6.638428757673378e-05
2020-01-23,709.0,249.0,418.0,679.5,0.00016843651713194187,0.00011621172188901455
2020-01-24,574.0,241.0,538.0,712.5,0.00013770734071291138,0.00011298672195046023
2020-01-25,655.0,224.0,429.5,685.5,0.00016997821424261732,0.00011476538675935337
2020-01-26,637.0,206.0,486.5,821.0,0.00015603214899135136,9.842336283963825e-05
2020-01-27,482.0,228.0,703.5,755.5,0.00010945184833970402,0.00010360603532420508
2020-01-28,429.0,209.0,785.5,815.5,9.73744754489213e-05,9.641635627366006e-05
2020-01-29,280.0,170.0,1249.0,1051.5,6.293581648095731e-05,7.635614121214926e-05
2020-01-30,338.0,183.0,984.0,945.0,7.782217632709259e-05,8.273149560912758e-05
2020-01-31,394.0,197.0,796.5,886.0,9.414823328689644e-05,8.879141364494162e-05
2020-02-01,340.0,143.0,878.0,1141.0,8.601645646605942e-05,7.043328785542951e-05
2020-02-02,403.0,118.0,816.0,1466.5,9.580372550497241e-05,5.486988861412612e-05
