#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,3.0,2.0,17237.0,10448.0,4.485498383725415e-06,1.0060058549540758e-05
2020-01-23,1.0,1.0,55665.0,35906.5,1.7713442554420125e-06,4.982387261032251e-06
2020-01-24,2.0,1.0,21991.0,34577.5,3.883653508201304e-06,5.266484095218032e-06
2020-01-25,3.0,2.0,14003.5,9572.5,6.540835526330132e-06,1.0998135815979193e-05
2020-01-26,2.0,2.0,22566.0,10169.5,3.9701208703298965e-06,1.039457818801713e-05
2020-01-27,3.0,2.0,13964.5,10437.0,7.228706639808006e-06,1.0060665814863628e-05
2020-01-28,4.0,4.0,10228.5,4677.5,9.033668482434033e-06,1.883434254018778e-05
2020-01-29,,,,,,
2020-01-30,1.0,1.0,49740.5,34579.5,2.656465837849325e-06,5.358367626886145e-06
2020-01-31,2.0,2.0,19587.0,10427.0,5.474127902998452e-06,1.0241704219582138e-05
2020-02-01,2.0,2.0,18357.5,9811.5,5.742308178195307e-06,1.0854109908716935e-05
2020-02-02,1.0,1.0,49656.0,34566.5,2.6667022226963026e-06,5.110541001870458e-06
2020-02-03,1.0,0.0,48215.0,63979.0,2.9373837897538182e-06,0.0
2020-02-04,1.0,1.0,49969.0,35244.5,2.581884465833923e-06,5.119384035712823e-06
2020-02-05,2.0,2.0,20199.5,10433.5,5.071289654315541e-06,1.0132533538686012e-05
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,5.0,3.0,6823.5,5784.0,1.4438264867081333e-05,1.642494620830117e-05
2020-02-09,1.0,1.0,50156.5,35336.5,2.6506075192434105e-06,5.095411581870525e-06
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,1.0,1.0,49542.0,34374.0,2.53716953366824e-06,5.363569562815445e-06
2020-02-13,,,,,,
2020-02-14,1.0,1.0,49721.5,34401.0,2.6433907301573885e-06,5.283876251618187e-06
2020-02-15,,,,,,
2020-02-16,3.0,0.0,13058.5,66996.5,7.3983102259443936e-06,0.0
2020-02-17,2.0,1.0,19642.5,35430.0,4.9577353065119865e-06,5.022853985634638e-06
2020-02-18,5.0,1.0,7828.0,35846.0,1.2294920722351186e-05,4.942713945373126e-06
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,1.0,0.0,50019.5,66336.5,2.5570215812621458e-06,0.0
2020-02-22,2.0,1.0,19182.5,32749.5,5.1236463966675785e-06,5.6351044466609185e-06
2020-02-23,6.0,4.0,7227.5,4840.5,1.3478330214597479e-05,1.882414950139534e-05
2020-02-24,15.0,6.0,2591.5,2959.0,3.620949364644085e-05,2.897612849947119e-05
2020-02-25,23.0,12.0,1709.0,1384.0,5.1378737244670005e-05,5.954743946010321e-05
2020-02-26,12.0,11.0,3279.0,1563.0,2.73296225779122e-05,5.377421672964768e-05
2020-02-27,11.0,6.0,3503.0,2809.0,2.7735753908219874e-05,3.062896581296933e-05
2020-02-28,6.0,4.0,6281.0,4312.0,1.5700271353023214e-05,2.096216329525207e-05
2020-02-29,2.0,2.0,20352.5,10596.5,5.094866412602661e-06,1.0001050110261577e-05
2020-03-01,10.0,5.0,4060.0,3718.0,2.339214117625043e-05,2.3765275130590186e-05
2020-03-02,7.0,4.0,5907.0,4439.0,1.5987721429941805e-05,2.0261884861839272e-05
2020-03-03,15.0,9.0,2804.5,1874.5,3.5118771685841514e-05,4.4387015318452175e-05
2020-03-04,5.0,3.0,8157.0,6399.0,1.1832163132399541e-05,1.4909721635497065e-05
2020-03-05,8.0,3.0,5013.5,6296.0,1.8506223874416766e-05,1.5075149620859988e-05
2020-03-06,42.0,17.0,933.5,1024.5,9.453646744231588e-05,8.40872330848638e-05
2020-03-07,6.0,3.0,6514.5,6136.0,1.5023398943855054e-05,1.5522647542764897e-05
2020-03-08,4.0,1.0,10546.5,33989.0,9.671296800009672e-06,5.187583001328021e-06
2020-03-09,39.0,15.0,1076.5,1132.5,8.82225198161352e-05,7.447014491890202e-05
2020-03-10,44.0,15.0,1008.0,1201.5,9.341270582640522e-05,7.054574185902141e-05
2020-03-11,89.0,25.0,525.5,826.0,0.000171148250922566,0.00010613818342376308
2020-03-12,53.0,26.0,919.0,798.0,0.00010214209314202572,0.00010463197714193728
2020-03-13,94.0,21.0,496.0,979.5,0.0001745946247144264,8.551498344674251e-05
2020-03-14,55.0,28.0,1011.5,820.0,9.345508548591548e-05,0.00010469912090130986
2020-03-15,95.0,35.0,635.5,728.5,0.000144866760702985,0.00011735869175236646
2020-03-16,69.0,31.0,764.5,779.5,0.0001177414125556712,0.00010975976773416893
2020-03-17,69.0,41.0,875.5,647.5,0.00010663139073605022,0.0001335004802761181
2020-03-18,72.0,29.0,877.5,884.5,0.00010554089709762532,9.50121877702933e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
