#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,1.0,1.0,53444.5,36677.0,2.24638836909958e-06,4.706037375348835e-06
2020-02-24,,,,,,
2020-02-25,1.0,0.0,52653.5,69341.0,2.233858141072609e-06,0.0
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,2.0,2.0,19957.0,10207.5,5.233423784341073e-06,1.0481081647626036e-05
2020-02-29,,,,,,
2020-03-01,2.0,1.0,21505.5,37159.0,4.678428235250087e-06,4.753055026118037e-06
2020-03-02,,,,,,
2020-03-03,1.0,0.0,53032.0,69706.0,2.341251445722768e-06,0.0
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,2.0,0.0,20558.0,67514.5,4.501736544872185e-06,0.0
2020-03-07,1.0,0.0,50173.0,65869.0,2.5038998239758427e-06,0.0
2020-03-08,1.0,1.0,50815.5,33989.0,2.417824200002418e-06,5.187583001328021e-06
2020-03-09,5.0,3.0,8843.0,6449.5,1.131057946360708e-05,1.4894028983780404e-05
2020-03-10,8.0,5.0,5705.5,3751.0,1.698412833207368e-05,2.351524728634047e-05
2020-03-11,22.0,7.0,2273.5,2949.0,4.2306309216814064e-05,2.971869135865365e-05
2020-03-12,12.0,5.0,4203.0,4485.5,2.312651165479827e-05,2.012153406575717e-05
2020-03-13,10.0,2.0,5248.0,12589.0,1.857389624621557e-05,8.144284137784997e-06
2020-03-14,17.0,12.0,3322.5,1963.5,2.8886117332010235e-05,4.487105181484708e-05
2020-03-15,10.0,4.0,5981.0,6782.0,1.5249132705577371e-05,1.3412421914556164e-05
2020-03-16,14.0,8.0,4067.5,3071.5,2.3889561967817348e-05,2.832510135075327e-05
2020-03-17,24.0,12.0,2680.5,2229.0,3.708917938645225e-05,3.907331130032724e-05
2020-03-18,25.0,8.0,2587.0,3327.5,3.664614482556435e-05,2.621025869525332e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
