covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,2.0,2.0,19957.0,10207.5,5.233423784341073e-06,1.0481081647626036e-05
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,2.0,0.0,20558.0,67514.5,4.501736544872185e-06,0.0
2020-03-07,4.0,0.0,9851.5,65869.0,1.0015599295903367e-05,0.0
2020-03-08,,,,,,
2020-03-09,1.0,1.0,53690.0,35621.0,2.2621158927214162e-06,4.964676327926802e-06
2020-03-10,1.0,1.0,54362.5,37106.0,2.12301604150921e-06,4.7030494572680926e-06
2020-03-11,6.0,5.0,8342.5,4206.5,1.153808433185838e-05,2.1227636684752614e-05
2020-03-12,1.0,1.0,58401.5,40754.0,1.9272093045665226e-06,4.024306813151435e-06
2020-03-13,1.0,0.0,58437.5,76049.5,1.8573896246215568e-06,0.0
2020-03-14,1.0,1.0,60129.0,42063.5,1.6991833724711902e-06,3.7392543179039236e-06
2020-03-15,3.0,2.0,18229.5,14576.0,4.574739811673211e-06,6.706210957278082e-06
2020-03-16,2.0,1.0,25466.0,44261.5,3.4127945668310487e-06,3.540637668844159e-06
2020-03-17,3.0,2.0,18409.0,15038.0,4.636147423306531e-06,6.512218550054539e-06
2020-03-18,6.0,5.0,9555.5,5437.0,8.795074758135444e-06,1.6381411684533328e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
