вирус,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,1.0,1.0,50798.5,32683.5,2.067837476245717e-06,5.624170434860858e-06
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,1.0,1.0,58498.0,37035.5,1.627733982690677e-06,4.847897224578839e-06
2020-01-17,,,,,,
2020-01-18,2.0,0.0,23854.0,68874.0,3.1750265114713707e-06,0.0
2020-01-19,2.0,0.0,25676.5,72236.5,3.100861729474621e-06,0.0
2020-01-20,4.0,3.0,14013.0,6501.5,5.818097191313581e-06,1.4758913153635367e-05
2020-01-21,,,,,,
2020-01-22,4.0,4.0,13327.0,4482.0,5.980664511633887e-06,2.0120117099081517e-05
2020-01-23,3.0,3.0,16048.0,6281.0,5.3140327663260365e-06,1.4947161783096755e-05
2020-01-24,23.0,7.0,2104.5,2316.0,4.466201534431501e-05,3.686538866652623e-05
2020-01-25,18.0,6.0,2421.0,2570.5,3.9245013157980796e-05,3.299440744793757e-05
2020-01-26,10.0,7.0,4785.5,2350.5,1.9850604351649486e-05,3.638102365805997e-05
2020-01-27,7.0,3.0,5948.5,6269.0,1.6866982159552012e-05,1.5090998722295441e-05
2020-01-28,11.0,5.0,3800.5,3654.0,2.4842588326693586e-05,2.354292817523473e-05
2020-01-29,14.0,11.0,2834.0,1442.0,3.3003611538062596e-05,5.608038868807578e-05
2020-01-30,7.0,5.0,5290.0,3206.0,1.859526086494528e-05,2.6791838134430733e-05
2020-01-31,5.0,3.0,7450.5,6275.5,1.3685319757496131e-05,1.5362556329373207e-05
2020-02-01,4.0,2.0,8640.5,9811.5,1.1484616356390614e-05,1.0854109908716935e-05
2020-02-02,5.0,1.0,7561.0,34566.5,1.3333511113481512e-05,5.110541001870458e-06
2020-02-03,2.0,1.0,18658.5,33813.5,5.8747675795076365e-06,5.4252000542520005e-06
2020-02-04,1.0,0.0,49969.0,66530.0,2.581884465833923e-06,0.0
2020-02-05,5.0,1.0,7782.0,35830.0,1.2678224135788852e-05,5.066266769343006e-06
2020-02-06,6.0,5.0,6145.0,3431.5,1.5868272183183335e-05,2.5351627067425188e-05
2020-02-07,6.0,6.0,6040.5,2750.0,1.685923661376613e-05,3.1565656565656566e-05
2020-02-08,3.0,1.0,11667.5,33479.5,8.6629589202488e-06,5.4749820694337225e-06
2020-02-09,3.0,1.0,12566.0,35336.5,7.951822557730232e-06,5.095411581870525e-06
2020-02-10,1.0,0.0,48786.0,64742.5,2.7512889788866083e-06,0.0
2020-02-11,,,,,,
2020-02-12,3.0,1.0,12172.0,34374.0,7.611508601004718e-06,5.363569562815445e-06
