#coronavirusoutbreak,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,3.0,2.0,472075.0,291898.0,3.810650552356974e-08,9.841983025728717e-08
2020-01-29,,,,,,
2020-01-30,3.0,3.0,463335.5,197301.0,4.0340656404066427e-08,1.5212287471667115e-07
2020-01-31,5.0,0.0,298058.0,1644204.0,7.083241245294442e-08,0.0
2020-02-01,172.0,1.0,21536.5,689487.5,2.7082602536071584e-06,5.996161137716411e-08
2020-02-02,32.0,3.0,75668.0,178767.5,4.7239740620756175e-07,1.6865399160710276e-07
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,4.0,1.0,327817.5,696482.5,6.256545128272313e-08,6.014641079902343e-08
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,2.0,1.0,672640.5,798240.0,2.5436951501424965e-08,4.9748031196791366e-08
2020-02-12,3.0,2.0,469767.5,290637.5,3.913989200155693e-08,1.0011895132607053e-07
2020-02-13,3.0,0.0,464485.0,1724832.5,4.0354250053119645e-08,0.0
2020-02-14,5.0,2.0,289291.5,272986.5,7.439857530894604e-08,1.0797898275483863e-07
2020-02-15,3.0,1.0,403125.0,676816.0,4.8925335436992285e-08,6.18568626013718e-08
2020-02-16,4.0,0.0,337142.0,1520103.5,5.8142162267187336e-08,0.0
2020-02-17,2.0,1.0,659733.0,783920.5,2.5057129629126167e-08,4.9688043556141476e-08
2020-02-18,2.0,1.0,678126.5,803345.0,2.5295218279205e-08,4.907000321752012e-08
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,2.0,1.0,605330.5,705995.0,2.9474752251443684e-08,5.6522635874340464e-08
2020-02-24,2.0,0.0,647618.5,1641913.0,2.7407655284272e-08,0.0
2020-02-25,,,,,,
2020-02-26,7.0,1.0,244659.0,807599.0,8.900056057638797e-08,4.948924133586903e-08
2020-02-27,3.0,1.0,481030.0,819020.5,3.73860361460161e-08,4.8455021335714987e-08
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,3.0,2.0,476705.0,293171.0,3.7967263107058565e-08,9.718608856947275e-08
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-14,2.0,0.0,680046.5,1717092.5,2.0110862335274943e-08,0.0
2020-03-15,3.0,2.0,503598.5,313399.5,2.8572899667577167e-08,8.165117621377129e-08
2020-03-16,3.0,1.0,516984.5,892425.0,2.8456094664700414e-08,3.884898084166395e-08
2020-03-17,,,,,,
2020-03-18,3.0,1.0,538718.5,949546.5,2.7752739667201728e-08,3.6060734065284504e-08
2020-03-19,,,,,,
2020-03-20,,,,,,
