#coronavirusupdate,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,4.0,1.0,327817.5,696482.5,6.256545128272313e-08,6.014641079902343e-08
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,3.0,1.0,469373.5,798240.0,3.815542725213745e-08,4.9748031196791366e-08
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,2.0,0.0,681635.5,1741509.0,2.5623882606539234e-08,0.0
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,3.0,1.0,453636.5,764167.5,4.1111482926407986e-08,5.2876830034039465e-08
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,2.0,0.0,669732.5,1710231.5,2.6123397866703245e-08,0.0
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,2.0,1.0,659200.0,784696.5,2.699290616978341e-08,5.12173676864608e-08
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,3.0,1.0,489763.5,837746.5,3.1284285948009134e-08,4.296142742607692e-08
2020-03-13,,,,,,
2020-03-14,5.0,5.0,320186.0,132412.0,5.027715583818736e-08,2.184420008745544e-07
2020-03-15,,,,,,
2020-03-16,2.0,0.0,742446.0,1910276.0,1.897072977646694e-08,0.0
2020-03-17,,,,,,
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
