#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,2.0,2.0,583358.5,253141.0,3.1837304750565225e-08,1.2217733698366635e-07
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,2.0,2.0,667791.5,286230.0,2.5907438809382203e-08,1.0056683490827699e-07
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,43.0,2.0,66339.5,284441.5,5.734326748099176e-07,1.0223430518115794e-07
2020-02-29,5.0,4.0,286401.5,143082.0,7.33493832541803e-08,2.258474374587511e-07
2020-03-01,6.0,1.0,261612.5,746707.0,8.104581519933217e-08,5.195952353116922e-08
2020-03-02,4.0,2.0,370202.5,285446.5,5.2246795733406484e-08,1.0131597804138283e-07
2020-03-03,13.0,4.0,158174.0,157114.0,1.6397580478978119e-07,1.953582775573241e-07
2020-03-04,2.0,2.0,675468.5,291138.0,2.5053893116308836e-08,9.739636624871127e-08
2020-03-05,4.0,1.0,377536.5,814088.5,5.0623017476078096e-08,4.8593044284736377e-08
2020-03-06,8.0,4.0,216171.5,153734.5,1.0797162467913363e-07,2.048694707458432e-07
2020-03-07,3.0,3.0,432252.0,184147.5,4.221890578644302e-08,1.6516165857980132e-07
2020-03-08,5.0,2.0,303226.5,278516.0,6.187613388015335e-08,1.017132012190734e-07
2020-03-09,6.0,4.0,269960.0,151139.5,7.277518526287943e-08,1.9787709537003213e-07
2020-03-10,14.0,7.0,155121.0,102376.5,1.5615872383164608e-07,3.2130305832316067e-07
2020-03-11,27.0,12.0,98217.0,68101.5,3.112550303135885e-07,5.431112672053126e-07
2020-03-12,56.0,28.0,60150.5,36298.5,5.839733376961703e-07,1.2029199679301536e-06
2020-03-13,89.0,33.0,42766.0,31374.0,9.437324048250645e-07,1.438647817532025e-06
2020-03-14,129.0,44.0,33423.0,24605.5,1.2971506206252338e-06,1.922289607696079e-06
2020-03-15,142.0,33.0,32440.5,32774.5,1.3524505842653194e-06,1.347244407527226e-06
2020-03-16,73.0,27.0,52061.5,39173.0,6.924316368410435e-07,1.0489224827249266e-06
2020-03-17,90.0,37.0,45310.0,31937.5,8.609904018511982e-07,1.3925557956647932e-06
2020-03-18,291.0,51.0,20163.0,25887.5,2.692015747718568e-06,1.839097437329509e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
