#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,35.0,13.0,78550.5,61401.5,4.4514665127493685e-07,6.467244055582878e-07
2020-02-12,22.0,6.0,108215.0,113445.5,2.870258746780843e-07,3.003568539782115e-07
2020-02-13,30.0,7.0,85455.5,99454.5,4.035425005311964e-07,3.518716227550151e-07
2020-02-14,10.0,2.0,174075.5,272986.5,1.4879715061789208e-07,1.0797898275483863e-07
2020-02-15,9.0,6.0,177006.5,97649.0,1.4677600631097686e-07,3.711411756082308e-07
2020-02-16,11.0,5.0,161989.0,119122.5,1.5989094623476514e-07,2.776007764382677e-07
2020-02-17,14.0,7.0,147068.0,98429.5,1.753999074038832e-07,3.4781630489299035e-07
2020-02-18,13.0,3.0,159102.5,200059.5,1.6441891881483252e-07,1.4721000965256036e-07
2020-02-19,7.0,3.0,247713.0,201976.0,8.968358912288733e-08,1.478220709093605e-07
2020-02-20,21.0,4.0,112583.0,157453.0,2.7053650325849625e-07,1.9873028241610125e-07
2020-02-21,21.0,6.0,109667.0,109836.5,2.8005279555301764e-07,3.125376021802623e-07
2020-02-22,21.0,4.0,99182.5,137009.0,3.3429169988093484e-07,2.443546739673327e-07
2020-02-23,43.0,12.0,62858.5,59415.5,6.337071734060394e-07,6.782716304920854e-07
2020-02-24,65.0,17.0,48891.5,47752.5,8.907487967388399e-07,8.989061105786707e-07
2020-02-25,160.0,30.0,26089.0,31847.5,2.072595104750576e-06,1.5085025236241553e-06
2020-02-26,118.0,31.0,33212.5,31523.0,1.5002951640019688e-06,1.53416648141194e-06
2020-02-27,339.0,38.0,15331.5,27302.5,4.224622084499818e-06,1.8412908107571697e-06
2020-02-28,528.0,65.0,9919.0,17137.5,7.041219820921778e-06,3.3226149183876318e-06
2020-02-29,273.0,28.0,15691.0,30673.5,4.004876325678245e-06,1.5809320622112575e-06
2020-03-01,132.0,42.0,29209.0,23402.0,1.783007934385308e-06,2.1822999883091067e-06
2020-03-02,332.0,51.0,14761.5,20662.0,4.336484045872739e-06,2.5835574400552616e-06
2020-03-03,1616.0,47.0,3880.5,22726.0,2.038345388771433e-05,2.2954597612985583e-06
2020-03-04,376.0,62.0,13834.5,18488.5,4.71013190586606e-06,3.0192873537100493e-06
2020-03-05,328.0,29.0,15399.0,33499.5,4.151087433038404e-06,1.4091982842573554e-06
2020-03-06,278.0,47.0,16718.5,22144.5,3.752013957599894e-06,2.407216281263657e-06
2020-03-07,324.0,34.0,14372.5,26716.5,4.559641824935845e-06,1.8718321305710816e-06
2020-03-08,220.0,46.0,20351.5,21710.0,2.7225498907267485e-06,2.3394036280386883e-06
2020-03-09,315.0,72.0,16033.0,15866.5,3.8206972263011715e-06,3.561787716660579e-06
2020-03-10,816.0,78.0,7944.0,15899.0,9.101822760473088e-06,3.5802340784580765e-06
2020-03-11,805.0,188.0,7897.0,7798.5,9.280011088979213e-06,8.508743186216563e-06
2020-03-12,1160.0,260.0,6191.0,6160.0,1.2096590566563526e-05,1.116997113078e-05
2020-03-13,1694.0,329.0,4462.0,4970.5,1.7962726896333247e-05,1.4342882786910183e-05
2020-03-14,1591.0,299.0,4825.0,5343.0,1.5998190987711216e-05,1.3062831652298353e-05
2020-03-15,1940.0,339.0,4167.0,5074.5,1.847714178503324e-05,1.3839874368234228e-05
2020-03-16,3384.0,527.0,2553.0,3645.0,3.209847478178207e-05,2.0473412903556895e-05
2020-03-17,2245.0,536.0,3796.0,3661.0,2.147692724617711e-05,2.0173240715576464e-05
2020-03-18,2629.0,551.0,3300.0,3713.0,2.432065086169111e-05,1.986946446997176e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
