#covid_19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,2.0,1.0,605330.5,705995.0,2.9474752251443684e-08,5.6522635874340464e-08
2020-02-24,,,,,,
2020-02-25,4.0,1.0,370438.5,789530.5,5.1814877618764386e-08,5.0283417454138506e-08
2020-02-26,22.0,3.0,108939.5,198410.0,2.7971604752579075e-07,1.4846772400760708e-07
2020-02-27,9.0,1.0,209064.5,819020.5,1.1215810843804829e-07,4.8455021335714987e-08
2020-02-28,5.0,0.0,309244.0,1705417.0,6.667821800115319e-08,0.0
2020-02-29,4.0,0.0,339404.0,1546730.0,5.8679506603344237e-08,0.0
2020-03-01,4.0,4.0,354209.0,148829.0,5.403054346622144e-08,2.0783809412467688e-07
2020-03-02,,,,,,
2020-03-03,90.0,12.0,40243.0,66069.0,1.1352171100831005e-06,5.860748326719723e-07
2020-03-04,32.0,11.0,83653.5,71140.0,4.0086228986094117e-07,5.35680014367912e-07
2020-03-05,10.0,2.0,190840.0,293171.0,1.2655754369019524e-07,9.718608856947275e-08
2020-03-06,8.0,6.0,216171.5,110926.0,1.0797162467913363e-07,3.073042061187648e-07
2020-03-07,8.0,3.0,206216.0,184147.5,1.1258374876384805e-07,1.6516165857980132e-07
2020-03-08,3.0,3.0,453475.0,188058.0,3.7125680328092007e-08,1.5256980182861008e-07
2020-03-09,12.0,4.0,164401.5,151139.5,1.4555037052575885e-07,1.9787709537003213e-07
2020-03-10,14.0,5.0,155121.0,133229.0,1.5615872383164608e-07,2.295021845165433e-07
2020-03-11,18.0,12.0,129678.0,68101.5,2.0750335354239235e-07,5.431112672053126e-07
2020-03-12,822.0,113.0,8211.5,12146.0,8.5718943497545e-06,4.854641299146692e-06
2020-03-13,811.0,160.0,8425.5,9039.0,8.599628992282326e-06,6.975262145609817e-06
2020-03-14,578.0,144.0,11091.5,9837.0,5.812039214894459e-06,6.291129625187166e-06
2020-03-15,425.0,132.0,14534.5,11056.0,4.047827452906766e-06,5.388977630108904e-06
2020-03-16,509.0,161.0,12706.5,9737.5,4.828050728110837e-06,6.2546859155078965e-06
2020-03-17,756.0,217.0,9383.5,7950.5,7.232319375550066e-06,8.16715155835838e-06
2020-03-18,708.0,172.0,10220.0,9910.0,6.5496465614596074e-06,6.202446259228934e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
