#covidー19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,2.0,2.0,667791.5,286230.0,2.5907438809382203e-08,1.0056683490827699e-07
2020-02-26,3.0,3.0,470693.0,198410.0,3.8143097389880564e-08,1.4846772400760708e-07
2020-02-27,,,,,,
2020-02-28,2.0,2.0,661489.5,284441.5,2.667128720046128e-08,1.0223430518115794e-07
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,2.0,1.0,659200.0,784696.5,2.699290616978341e-08,5.12173676864608e-08
2020-03-07,,,,,,
2020-03-08,3.0,3.0,453475.0,188058.0,3.7125680328092007e-08,1.5256980182861008e-07
2020-03-09,,,,,,
2020-03-10,2.0,1.0,693919.0,812144.5,2.2308389118806583e-08,4.5900436903308666e-08
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,4.0,4.0,380052.5,159717.5,4.241493954269951e-08,1.7438155364024544e-07
2020-03-14,23.0,20.0,109669.5,45461.0,2.3127491685566183e-07,8.737680034982176e-07
2020-03-15,66.0,52.0,55301.0,23049.5,6.286037926866978e-07,2.122930581558053e-06
2020-03-16,84.0,24.0,47272.5,42926.0,7.967706506116116e-07,9.323755401999348e-07
2020-03-17,47.0,13.0,71272.0,71436.5,4.496283209667368e-07,4.892763606389815e-07
2020-03-18,19.0,9.0,136275.5,97050.5,1.7576735122561095e-07,3.245466065875605e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
