covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,20.0,9.0,115746.5,81604.0,2.5436951501424964e-07,4.4773228077112245e-07
2020-02-12,52.0,21.0,58871.5,42429.5,6.784247946936535e-07,1.0512489889237405e-06
2020-02-13,55.0,18.0,55548.5,47608.5,7.398279176405269e-07,9.048127442271816e-07
2020-02-14,65.0,14.0,45632.5,54307.0,9.671814790162985e-07,7.558528792838705e-07
2020-02-15,66.0,17.0,42697.5,42831.5,1.0763573796138304e-06,1.0515666642233207e-06
2020-02-16,27.0,8.0,86445.0,82237.5,3.9245959530351453e-07,4.4416124230122814e-07
2020-02-17,53.0,15.0,57983.5,54281.0,6.640139351718437e-07,7.453206533421222e-07
2020-02-18,31.0,9.0,86640.5,82610.0,3.920758833276776e-07,4.41630028957681e-07
2020-02-19,69.0,16.0,49145.0,53160.0,8.840239499256037e-07,7.883843781832559e-07
2020-02-20,65.0,15.0,50872.5,55606.0,8.373748910382027e-07,7.452385590603795e-07
2020-02-21,57.0,20.0,54092.5,42876.0,7.601433022153338e-07,1.0417920072675413e-06
2020-02-22,42.0,10.0,60591.5,65874.0,6.685833997618697e-07,6.108866849183318e-07
2020-02-23,22.0,9.0,100815.0,74415.0,3.242222747658806e-07,5.087037228690639e-07
2020-02-24,81.0,24.0,41812.0,36488.5,1.1100100390130158e-06,1.2690439208169469e-06
2020-02-25,324.0,55.0,15262.0,19794.5,4.197005087119916e-06,2.7655879599776178e-06
2020-02-26,511.0,67.0,10859.5,17052.0,6.4970409220763226e-06,3.315779169503225e-06
2020-02-27,244.0,70.0,19656.0,16915.5,3.040730939875976e-06,3.3918514935000486e-06
2020-02-28,637.0,154.0,8510.0,8419.0,8.494804973346916e-06,7.87204149894916e-06
2020-02-29,641.0,88.0,7814.0,12177.0,9.403390933185917e-06,4.968643624092524e-06
2020-03-01,267.0,68.0,17143.5,16027.0,3.606538776370282e-06,3.533247600119507e-06
2020-03-02,446.0,114.0,11713.5,10709.5,5.825517724274824e-06,5.77501074835882e-06
2020-03-03,681.0,116.0,8408.0,11017.5,8.589809466295461e-06,5.665390049162399e-06
2020-03-04,512.0,94.0,10730.0,13259.5,6.413796637775061e-06,4.577629213689431e-06
2020-03-05,395.0,92.0,13273.0,13502.0,4.9990229757627124e-06,4.4705600741957474e-06
2020-03-06,576.0,146.0,9214.0,8692.0,7.773956976897621e-06,7.477735682223275e-06
2020-03-07,638.0,98.0,8120.5,11446.5,8.978553963916879e-06,5.395280846940177e-06
2020-03-08,736.0,113.0,7759.0,10585.5,9.108166907158574e-06,5.746795868877648e-06
2020-03-09,897.0,198.0,6849.5,6867.5,1.0879890196800477e-05,9.794916220816587e-06
2020-03-10,940.0,270.0,7035.0,5666.0,1.0484942885839093e-05,1.239311796389334e-05
2020-03-11,2862.0,414.0,2452.5,3967.0,3.2993033213240386e-05,1.873733871858328e-05
2020-03-12,4136.0,690.0,1923.5,2572.5,4.313060222698858e-05,2.964338492399307e-05
2020-03-13,3950.0,846.0,2005.0,2148.5,4.1884752798415775e-05,3.688169859491192e-05
2020-03-14,5061.0,831.0,1656.5,2180.5,5.089053713941325e-05,3.630506054535094e-05
2020-03-15,5716.0,944.0,1535.5,2072.0,5.4440898166623704e-05,3.853935517290004e-05
2020-03-16,6608.0,1097.0,1352.0,1878.5,6.267929118144678e-05,4.261733198330535e-05
2020-03-17,6698.0,1115.0,1306.0,1903.5,6.407681901777029e-05,4.196485708557417e-05
2020-03-18,6524.0,1313.0,1364.0,1712.5,6.0352957862941356e-05,4.734774382771855e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
