virus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,199.0,74.0,16195.5,11270.5,3.592282700878869e-06,4.9902309485626545e-06
2020-01-02,296.0,153.0,14480.0,7397.0,4.357117665979208e-06,8.925110448241797e-06
2020-01-03,342.0,121.0,13995.0,9513.5,4.5265211255123305e-06,6.744143686600869e-06
2020-01-04,288.0,123.0,15747.0,8822.5,4.0111442959021145e-06,7.253669796674327e-06
2020-01-05,276.0,113.0,17271.5,10086.5,3.5085398113249664e-06,6.228513008111617e-06
2020-01-06,347.0,122.0,14160.0,9695.5,4.547733416218287e-06,6.587333572637124e-06
2020-01-07,368.0,140.0,14783.5,9119.0,4.344556530985891e-06,7.068144332920907e-06
2020-01-08,490.0,192.0,11189.0,6798.5,6.215372763049289e-06,1.0063757573305173e-05
2020-01-09,513.0,181.0,10844.5,7410.0,6.487121603067141e-06,9.098002882810284e-06
2020-01-10,609.0,207.0,8931.0,6362.0,8.141908355561925e-06,1.0789384184170098e-05
2020-01-11,410.0,167.0,11312.0,6780.0,6.1298777567817e-06,9.975635555506706e-06
2020-01-12,394.0,146.0,12005.5,7963.0,5.6296443583626415e-06,8.28102814749827e-06
2020-01-13,567.0,176.0,9441.0,7425.0,7.501122191692961e-06,8.991231812040753e-06
2020-01-14,448.0,219.0,11680.5,6215.5,5.834531463485816e-06,1.1090549423792785e-05
2020-01-15,502.0,223.0,10776.5,6172.0,6.4704873339050384e-06,1.1178515274614012e-05
2020-01-16,445.0,181.0,11900.5,7395.5,5.77068922739017e-06,9.068993192442933e-06
2020-01-17,777.0,204.0,7156.0,6444.0,1.0443382752800427e-05,1.0692384857297807e-05
2020-01-18,496.0,195.0,9741.5,5972.5,7.268304797006431e-06,1.1465308123688215e-05
2020-01-19,597.0,190.0,8508.5,6356.5,8.415877775629089e-06,1.0668021393088627e-05
2020-01-20,2015.0,457.0,3124.0,3213.0,2.5733688860953752e-05,2.3072068660860785e-05
