#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,1.0,0.0,123447.5,155766.5,3.1855878906884627e-07,0.0
2020-01-21,10.0,8.0,16432.5,9548.5,3.1935862568486456e-06,6.3553145125990125e-06
2020-01-22,23.0,5.0,8748.0,13791.5,7.059738587088475e-06,3.9937856694982606e-06
2020-01-23,545.0,14.0,569.5,6086.5,0.00016629897810040796,1.0942629357511333e-05
2020-01-24,1140.0,3.0,260.0,21416.0,0.00036874647224455014,2.3918619289728625e-06
2020-01-25,2745.0,9.0,139.0,9075.5,0.0007844921477908901,6.73071817510786e-06
2020-01-26,1874.0,15.0,192.0,5966.5,0.0005654195554909209,1.1263722029362269e-05
2020-01-27,219.0,11.0,1233.5,6951.5,8.016589581728033e-05,9.304394973258324e-06
2020-01-28,219.0,13.0,1246.5,5970.5,7.795863706943872e-05,1.1287642115755638e-05
2020-01-29,242.0,13.0,1184.0,6129.0,8.313368652554093e-05,1.0904649742650266e-05
2020-01-30,6079.0,163.0,65.0,794.5,0.0016891413138012765,0.00012135136282047368
2020-01-31,610.0,35.0,511.0,2921.5,0.0002028540568150982,2.708810599962851e-05
2020-02-01,107.0,15.0,2503.0,5920.5,3.4144155988374395e-05,1.1576307158016592e-05
2020-02-02,107.0,12.0,2495.0,6893.0,3.3963919525190745e-05,9.576449595155594e-06
2020-02-03,73.0,17.0,3335.0,4981.0,2.4254111321055e-05,1.4007483291956327e-05
2020-02-04,63.0,6.0,3619.0,11407.5,2.231720614084495e-05,5.179392578103081e-06
2020-02-05,55.0,3.0,4134.5,20500.5,1.8780336646070896e-05,2.550727595046487e-06
