#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,2.0,2.0,59383.0,35797.5,5.256610647843094e-07,1.2586453200420384e-06
2020-03-10,2.0,1.0,62026.0,98320.5,4.981085572808653e-07,6.065285520283224e-07
2020-03-11,,,,,,
2020-03-12,1.0,1.0,164514.5,116155.0,2.197080299989344e-07,4.6471079188577787e-07
2020-03-13,3.0,3.0,48340.5,29393.5,6.813715737230416e-07,1.4521902659686472e-06
2020-03-14,4.0,2.0,40077.5,45230.5,8.386403543255497e-07,8.908939943054056e-07
2020-03-15,3.0,3.0,50925.5,31787.5,6.131657728412937e-07,1.294028790415215e-06
2020-03-16,2.0,1.0,74674.5,132232.0,3.962013796524442e-07,4.0450930796143077e-07
2020-03-17,3.0,1.0,51559.0,133715.0,5.789940942602385e-07,4.092414913578428e-07
2020-03-18,2.0,2.0,77038.5,49684.0,3.5869594653852133e-07,8.024516502819414e-07
2020-03-19,,,,,,
2020-03-20,,,,,,
