covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,1.0,1.0,127853.0,85288.0,3.172315079409391e-07,7.615311039764108e-07
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,20.0,2.0,9381.5,31694.0,6.524923576832606e-06,1.5636935379582697e-06
2020-02-22,1.0,0.0,134035.5,166266.0,2.812360436613333e-07,0.0
2020-02-23,5.0,4.0,26898.0,17523.5,1.6604863365221312e-06,2.968043814262786e-06
2020-02-24,1.0,0.0,130882.5,164682.0,3.013935533727295e-07,0.0
2020-02-25,3.0,3.0,41066.5,22585.5,9.055879303240644e-07,2.1707717165811505e-06
2020-02-26,2.0,2.0,54459.0,30868.5,6.979304616984485e-07,1.5976163563962568e-06
2020-02-27,1.0,1.0,119103.5,81137.0,3.5113530823535195e-07,8.146659421570887e-07
2020-02-28,14.0,4.0,12092.5,16950.0,4.642825756407513e-06,3.0786305327801036e-06
2020-02-29,4.0,4.0,31696.0,17279.5,1.2899364319326344e-06,2.9851258641006523e-06
2020-03-01,3.0,2.0,40893.5,32453.0,9.170870746664783e-07,1.4840108956079955e-06
2020-03-02,15.0,4.0,11609.0,16921.5,4.685533540142371e-06,3.0795501701066525e-06
2020-03-03,7.0,0.0,20785.5,152136.0,2.272429200845084e-06,0.0
2020-03-04,1.0,1.0,121221.0,82116.0,3.388237462589623e-07,7.949972413595723e-07
2020-03-05,12.0,8.0,13155.5,9421.5,4.1474343798116725e-06,6.359447077873815e-06
2020-03-06,71.0,15.0,3543.0,5867.5,2.2837174803455553e-05,1.1224133983235634e-05
2020-03-07,70.0,26.0,3966.0,4166.5,1.9594225973490133e-05,1.7460480552718226e-05
2020-03-08,65.0,35.0,4227.5,3302.5,1.8177704681653862e-05,2.278547926977096e-05
2020-03-09,271.0,132.0,1398.5,1073.0,7.122707427827394e-05,8.307059112277455e-05
2020-03-10,232.0,102.0,1606.0,1406.5,5.778059264458037e-05,6.186591230688889e-05
2020-03-11,164.0,92.0,2132.5,1621.5,4.1873994002827006e-05,5.261773217574322e-05
2020-03-12,758.0,243.0,599.0,846.0,0.0001665386867391923,0.000112924722428244
2020-03-13,1032.0,167.0,416.0,1122.0,0.00023439182136072623,8.083859147225469e-05
2020-03-14,391.0,192.0,1172.0,1073.5,8.197709463532249e-05,8.552582345331895e-05
2020-03-15,297.0,156.0,1562.5,1326.0,6.070341151128808e-05,6.728949710159119e-05
2020-03-16,417.0,178.0,1193.5,1232.0,8.260798765753462e-05,7.200265681713469e-05
2020-03-17,230.0,144.0,2047.5,1499.0,4.438954722661829e-05,5.893077475552936e-05
2020-03-18,282.0,111.0,1734.0,1857.5,5.0576128461931513e-05,4.4536066590647745e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
