#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,1.0,0.0,28053.0,26993.5,2.4147875795883797e-07,0.0
2020-01-19,2.0,1.0,15275.0,10132.5,4.749603289385254e-07,1.767658912536237e-06
2020-01-20,,,,,,
2020-01-21,4.0,3.0,9856.0,3011.5,6.52972526833906e-07,3.899096579322571e-06
2020-01-22,7.0,7.0,6205.5,1483.0,1.4055677349115317e-06,1.0691299420531571e-05
2020-01-23,7.0,1.0,6216.0,10678.5,1.5920119209852645e-06,1.663392555652956e-06
2020-01-24,38.0,4.0,1546.5,2195.0,1.0716977045363273e-05,7.080987018780548e-06
2020-01-25,11.0,6.0,4061.5,1610.5,3.0699459270887837e-06,1.1131787375439937e-05
2020-01-26,10.0,3.0,4570.0,2634.0,2.5307044038558825e-06,6.0666604651915225e-06
2020-01-27,30.0,13.0,1719.0,836.5,9.2929922474761e-06,2.6672958749243412e-05
2020-01-28,75.0,19.0,934.0,710.0,2.2659349610198763e-05,3.6747995783651004e-05
2020-01-29,45.0,20.0,1300.0,684.0,1.3957998212135516e-05,3.753211341454032e-05
2020-01-30,39.0,17.0,1566.5,754.5,8.942150477132513e-06,2.9981305774046772e-05
2020-01-31,65.0,19.0,1169.5,726.0,1.6501248002079668e-05,3.4735679758970946e-05
2020-02-01,26.0,15.0,2029.5,801.0,7.871345879047688e-06,2.8653678272679865e-05
2020-02-02,42.0,23.0,1506.5,615.0,1.1899965490100079e-05,4.431974965122284e-05
2020-02-03,41.0,15.0,1556.5,856.0,1.0629353660114231e-05,2.718149628700761e-05
2020-02-04,65.0,14.0,1045.0,845.5,1.8653263101406312e-05,2.638696483936935e-05
