#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,1.0,1.0,27656.5,10327.5,2.408677985044518e-07,1.7455205578683705e-06
2020-02-18,1.0,0.0,28676.0,27248.5,2.3547906567558237e-07,0.0
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,1.0,1.0,28597.0,10538.5,2.352201201645506e-07,1.589612833898176e-06
2020-02-27,2.0,2.0,15079.5,4078.5,5.05453208301058e-07,3.4032300055983133e-06
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,1.0,1.0,26346.0,9918.5,2.815881345518214e-07,1.8982031608879039e-06
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,1.0,1.0,27343.0,10414.5,2.6911822605877163e-07,1.787904468688429e-06
2020-03-10,6.0,2.0,7229.0,4235.0,1.2655085435536366e-06,3.2404459501716626e-06
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-14,4.0,1.0,10389.5,11196.0,7.438193262856452e-07,1.5038702099853976e-06
2020-03-15,3.0,0.0,14841.0,31888.5,4.126523615682e-07,0.0
2020-03-16,6.0,1.0,6904.0,10833.5,1.290943621694996e-06,1.598135934246295e-06
2020-03-17,22.0,5.0,2458.0,1992.5,5.515577369385487e-06,8.204226160980043e-06
2020-03-18,14.0,4.0,3239.5,2387.5,3.8457745513560615e-06,7.072485908071827e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
