#coronavirus,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,19.0,7.0,54199.0,45826.0,1.485816125562411e-06,1.88790229512282e-06
2020-01-22,62.0,24.0,20628.5,15227.5,4.8024158320468145e-06,6.330028706680185e-06
2020-01-23,365.0,83.0,3704.0,4804.5,2.8536844819452465e-05,2.0961739773891008e-05
2020-01-24,128.0,34.0,12433.0,12067.0,7.639908206502899e-06,7.84946934124252e-06
2020-01-25,300.0,76.0,5738.0,4942.5,1.9272133901244575e-05,2.0806851367626128e-05
2020-01-26,442.0,108.0,3612.0,3864.0,3.010869648145141e-05,2.6772759510465053e-05
2020-01-27,745.0,227.0,1940.0,1723.0,5.4619673317167856e-05,5.769956168667766e-05
2020-01-28,747.0,178.0,2070.0,2382.0,5.2209517983837545e-05,4.230840354230674e-05
2020-01-29,617.0,144.0,2495.5,2902.5,4.286003558702793e-05,3.4983714352141696e-05
2020-01-30,1098.0,366.0,1357.0,1149.0,7.502565939047596e-05,8.525711192232194e-05
2020-01-31,734.0,216.0,1934.5,1945.0,5.337526564011633e-05,5.332077332894918e-05
2020-02-01,548.0,100.0,2661.0,4188.0,3.959575050891016e-05,2.440883629164361e-05
2020-02-02,832.0,98.0,1578.0,3954.5,6.293751787138053e-05,2.549949079078084e-05
2020-02-03,411.0,87.0,3354.5,4411.0,3.0769553265016445e-05,2.2767788446943724e-05
2020-02-04,331.0,77.0,4304.5,4973.0,2.459869751754553e-05,2.0417855388020125e-05
2020-02-05,343.0,114.0,4619.0,3625.0,2.326091593077741e-05,2.798938269416468e-05
