#coronavirusoutbreak,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,12.0,1.0,76890.5,363657.5,9.077526616064501e-07,2.6019888562021266e-07
2020-02-03,9.0,0.0,94732.0,700058.5,6.737858379200679e-07,0.0
2020-02-04,2.0,0.0,297103.0,701777.5,1.4863261339906658e-07,0.0
2020-02-05,1.0,0.0,608368.5,712792.0,6.781608143083794e-08,0.0
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,1.0,1.0,623758.0,378446.0,6.852768206554495e-08,2.4614954421719646e-07
2020-02-13,,,,,,
2020-02-14,2.0,1.0,295065.0,366184.0,1.5103480362945695e-07,2.6548324853798376e-07
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,1.0,1.0,632210.5,396553.5,6.514180981145092e-08,2.2439148954885415e-07
2020-03-14,1.0,0.0,640339.0,761833.5,6.16559075052873e-08,0.0
2020-03-15,,,,,,
2020-03-16,,,,,,
2020-03-17,4.0,3.0,196040.0,121267.0,2.0049227871654667e-07,5.37811269476611e-07
2020-03-18,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
