#covid,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,3.0,0.0,218335.0,714573.0,2.154893763737448e-07,0.0
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,1.0,1.0,623299.0,374832.0,7.356265018274803e-08,2.5997531794331453e-07
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,1.0,1.0,651480.5,388779.0,6.588693867210804e-08,2.4393891086642954e-07
2020-02-25,1.0,0.0,632801.0,737258.0,6.950548860516594e-08,0.0
2020-02-26,,,,,,
2020-02-27,1.0,1.0,608428.5,369082.5,6.866209706678268e-08,2.476870365311133e-07
2020-02-28,,,,,,
2020-02-29,1.0,1.0,595043.0,366857.0,5.588593769533882e-08,2.315738966198548e-07
2020-03-01,,,,,,
2020-03-02,2.0,2.0,309919.5,153560.0,1.2491469107316522e-07,4.926052561966048e-07
2020-03-03,2.0,1.0,309368.0,393601.0,1.3334960198477548e-07,2.393376856093669e-07
2020-03-04,,,,,,
2020-03-05,3.0,0.0,217590.5,728855.5,2.0552007746188727e-07,0.0
2020-03-06,3.0,0.0,217747.0,726443.0,2.142268784037527e-07,0.0
2020-03-07,,,,,,
2020-03-08,2.0,1.0,314775.5,382287.5,1.3606689919592627e-07,2.3543571145375905e-07
2020-03-09,,,,,,
2020-03-10,7.0,3.0,121063.0,103868.0,4.600055713246196e-07,6.980412961230787e-07
2020-03-11,4.0,4.0,172888.5,79554.5,2.686650149589322e-07,9.475949211755008e-07
2020-03-12,9.0,4.0,98474.5,83089.0,5.847693698843645e-07,8.664430088446503e-07
2020-03-13,25.0,9.0,46199.0,41412.0,1.6285452452862737e-06,2.019523405939688e-06
2020-03-14,7.0,3.0,121710.5,110334.5,4.3159135253701105e-07,6.410722146480727e-07
2020-03-15,10.0,6.0,97938.5,64356.0,5.725728664818479e-07,1.1740485950453975e-06
2020-03-16,10.0,5.0,102276.5,77101.5,5.003934343377478e-07,9.18306026585327e-07
2020-03-17,9.0,8.0,110432.5,53250.5,4.5110762711223e-07,1.4341633852709631e-06
2020-03-18,11.0,8.0,101027.5,57247.5,4.899656373735812e-07,1.2835508149745457e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
