#covid19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,10.0,3.0,92666.0,99769.0,6.686025384565136e-07,7.555544586024156e-07
2020-02-12,5.0,3.0,153069.0,101426.5,3.4263841032772473e-07,7.384486326515894e-07
2020-02-13,1.0,0.0,627815.0,732291.0,6.855876047954932e-08,0.0
2020-02-14,1.0,1.0,605604.5,366184.0,7.551740181472847e-08,2.6548324853798376e-07
2020-02-15,3.0,2.0,221262.5,146319.0,2.1330465002004002e-07,5.019275271862771e-07
2020-02-16,2.0,0.0,300802.0,710095.5,1.3697660980562128e-07,0.0
2020-02-17,3.0,2.0,218335.0,141642.0,2.154893763737448e-07,5.3398208596898e-07
2020-02-18,1.0,1.0,616825.0,370955.0,6.650635531406063e-08,2.5854510978730266e-07
2020-02-19,2.0,2.0,302124.0,145490.0,1.4044253442597624e-07,5.221078747964432e-07
2020-02-20,3.0,0.0,224476.0,738516.5,2.0785885219926093e-07,0.0
2020-02-21,38.0,8.0,31449.5,41691.0,2.7953807069444244e-06,2.0798025435465162e-06
2020-02-22,26.0,2.0,43195.5,148316.0,1.8667865430825256e-06,5.074985447479229e-07
2020-02-23,39.0,6.0,33508.0,59942.0,2.4412931592461788e-06,1.2482480318769258e-06
2020-02-24,13.0,5.0,79690.0,65399.5,8.565302027374045e-07,1.2196945543321478e-06
2020-02-25,21.0,15.0,53432.5,24540.0,1.4596152607084847e-06,3.76895407001812e-06
2020-02-26,7.0,4.0,119588.0,76830.0,4.871900679483988e-07,1.0329522084001741e-06
2020-02-27,9.0,3.0,96100.0,97620.5,6.179588736010439e-07,7.4306110959334e-07
2020-02-28,1.0,1.0,499902.0,304193.5,6.143903238930621e-08,2.661713749721185e-07
2020-02-29,18.0,5.0,59359.0,64023.5,1.0059468785160986e-06,1.157869483099274e-06
2020-03-01,6.0,1.0,129072.0,367240.0,3.800083677842586e-07,2.4763520758516545e-07
2020-03-02,13.0,9.0,76806.5,39150.0,8.11945491975574e-07,2.216723652884721e-06
2020-03-03,13.0,6.0,76973.0,56751.0,8.667724129010406e-07,1.4360261136562016e-06
2020-03-04,21.0,4.0,53623.0,80577.5,1.3367356012729031e-06,9.546496089874531e-07
2020-03-05,24.0,10.0,46925.0,36101.5,1.6441606196950988e-06,2.447537043473153e-06
2020-03-06,13.0,10.0,73128.5,35240.0,9.283164730829285e-07,2.5345272308338416e-06
2020-03-07,5.0,3.0,148481.0,100738.5,3.6495633771862435e-07,7.477617621055774e-07
2020-03-08,13.0,4.0,76278.5,80941.5,8.844348447735207e-07,9.41742845815036e-07
2020-03-09,45.0,14.0,28065.0,25729.0,3.2274504848132685e-06,3.6125582847573273e-06
2020-03-10,118.0,30.0,13128.5,13715.0,7.75437963090073e-06,6.980412961230786e-06
2020-03-11,110.0,33.0,13595.5,12471.5,7.3882879113706344e-06,7.817658099697882e-06
2020-03-12,79.0,27.0,18524.5,16260.0,5.132975580096088e-06,5.8484903097013885e-06
2020-03-13,369.0,26.0,4534.0,16379.5,2.40373278204254e-05,5.8341787282702085e-06
2020-03-14,195.0,42.0,8618.0,10810.0,1.2022901963531025e-05,8.975011005073019e-06
2020-03-15,115.0,39.0,14847.0,12624.5,6.584587964541249e-06,7.631315867795084e-06
2020-03-16,313.0,53.0,6753.0,10104.0,1.5662314494771513e-05,9.734043881804462e-06
2020-03-17,205.0,78.0,10206.5,7198.0,1.0275229284223016e-05,1.3983093006391888e-05
2020-03-18,324.0,67.0,7328.5,9166.0,1.443171513718548e-05,1.074973807541182e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
