#covid_19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,,,,,,
2020-02-16,,,,,,
2020-02-17,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-22,,,,,,
2020-02-23,,,,,,
2020-02-24,1.0,0.0,651480.5,754823.0,6.588693867210804e-08,0.0
2020-02-25,,,,,,
2020-02-26,1.0,1.0,630212.5,378789.5,6.959858113548554e-08,2.5823805210004353e-07
2020-02-27,1.0,1.0,608428.5,369082.5,6.866209706678268e-08,2.476870365311133e-07
2020-02-28,,,,,,
2020-02-29,,,,,,
2020-03-01,,,,,,
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,1.0,1.0,617629.5,377151.0,7.140895946791755e-08,2.534527230833841e-07
2020-03-07,,,,,,
2020-03-08,,,,,,
2020-03-09,,,,,,
2020-03-10,1.0,0.0,634623.5,744328.5,6.57150816178028e-08,0.0
2020-03-11,1.0,1.0,611027.0,378993.0,6.716625373973305e-08,2.368987302938752e-07
2020-03-12,458.0,35.0,3627.5,12795.5,2.975826348967099e-05,7.581376327390691e-06
2020-03-13,171.0,14.0,9255.5,28460.0,1.1139249477758113e-05,3.141480853683958e-06
2020-03-14,34.0,7.0,37201.0,53450.0,2.0963008551797683e-06,1.4958351675121696e-06
2020-03-15,41.0,11.0,34311.5,38576.0,2.347548752575576e-06,2.1524224242498954e-06
2020-03-16,53.0,19.0,29707.0,25139.0,2.6520852019900646e-06,3.4895629010242417e-06
2020-03-17,46.0,22.0,33465.5,22539.0,2.305661205240287e-06,3.943949309495147e-06
2020-03-18,29.0,13.0,50304.5,38203.0,1.291727589439441e-06,2.085770074333637e-06
2020-03-19,,,,,,
2020-03-20,,,,,,
