covid-19,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,,,,,,
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-04,,,,,,
2020-01-05,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-11,,,,,,
2020-01-12,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,,,,,,
2020-01-20,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-25,,,,,,
2020-01-26,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-01,,,,,,
2020-02-02,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-08,,,,,,
2020-02-09,,,,,,
2020-02-10,,,,,,
2020-02-11,2.0,2.0,303362.0,145895.5,1.3372050769130273e-07,5.037029724016104e-07
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-15,1.0,1.0,619782.5,374074.0,7.110155000667999e-08,2.509637635931385e-07
2020-02-16,,,,,,
2020-02-17,1.0,1.0,614916.5,365294.5,7.18297921245816e-08,2.6699104298449e-07
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,2.0,2.0,305265.5,145894.5,1.4712530036549606e-07,5.199506358866291e-07
2020-02-22,2.0,0.0,307378.5,731969.5,1.4359896485250196e-07,0.0
2020-02-23,5.0,0.0,158727.0,791541.0,3.1298630246745893e-07,0.0
2020-02-24,3.0,3.0,234527.0,103004.0,1.9766081601632413e-07,7.318167325992888e-07
2020-02-25,6.0,2.0,137514.0,148339.5,4.170329316309956e-07,5.025272093357493e-07
2020-02-26,8.0,7.0,108297.5,47156.0,5.567886490838843e-07,1.8076663647003044e-06
2020-02-27,3.0,1.0,216585.5,369082.5,2.0598629120034804e-07,2.476870365311133e-07
2020-02-28,,,,,,
2020-02-29,2.0,1.0,290679.5,366857.0,1.1177187539067764e-07,2.315738966198548e-07
2020-03-01,2.0,2.0,289903.0,143894.5,1.2666945592808616e-07,4.952704151703309e-07
2020-03-02,16.0,6.0,65818.5,55529.0,9.993175285853215e-07,1.477815768589814e-06
2020-03-03,14.0,4.0,72889.0,81016.5,9.334472138934284e-07,9.573507424374675e-07
2020-03-04,5.0,4.0,152473.0,80577.5,3.182703812554532e-07,9.546496089874531e-07
2020-03-05,9.0,5.0,97821.0,65601.0,6.165602323856619e-07,1.2237685217365766e-06
2020-03-06,19.0,13.0,54799.5,28006.0,1.3567702298904334e-06,3.2948854000839943e-06
2020-03-07,27.0,8.0,42256.5,42609.0,1.9707642236805717e-06,1.994031365614873e-06
2020-03-08,12.0,8.0,80842.5,44304.0,8.164013951755576e-07,1.883485691630072e-06
2020-03-09,21.0,13.0,51273.0,27497.5,1.506143559579525e-06,3.3545184072746604e-06
2020-03-10,74.0,23.0,19816.0,17524.0,4.862916039717407e-06,5.351649936943603e-06
2020-03-11,50.0,24.0,26206.0,16709.0,3.3583126869866525e-06,5.685569527053006e-06
2020-03-12,136.0,45.0,11535.0,10123.5,8.836514922697063e-06,9.747483849502316e-06
2020-03-13,85.0,48.0,17299.5,9221.0,5.53705383397333e-06,1.0770791498345e-05
2020-03-14,122.0,53.0,13108.0,8747.0,7.522020715645051e-06,1.1325609125449284e-05
2020-03-15,105.0,44.0,15977.5,11316.5,6.012015098059401e-06,8.609689696999582e-06
2020-03-16,155.0,79.0,12444.5,6973.0,7.756098232235095e-06,1.4509235220048166e-05
2020-03-17,201.0,92.0,10362.5,6159.0,1.007473700550647e-05,1.649287893061607e-05
2020-03-18,347.0,110.0,6899.0,5765.5,1.5456188742602967e-05,1.76488237059e-05
2020-03-19,,,,,,
2020-03-20,,,,,,
