virüs,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2020-01-01,42.0,13.0,24719.5,22304.5,3.68422280705848e-06,4.07638646526809e-06
2020-01-02,106.0,14.0,12695.0,23888.5,8.092137999351712e-06,3.879581127167958e-06
2020-01-03,32.0,13.0,34676.0,26284.5,2.51469742414042e-06,3.5407234950971877e-06
2020-01-04,32.0,17.0,36190.0,21259.5,2.4446399816896457e-06,4.443865870535027e-06
2020-01-05,149.0,20.0,9726.0,18568.0,1.050007043503624e-05,5.079802426164436e-06
2020-01-06,66.0,17.0,20937.5,22240.5,4.5734309026310325e-06,4.1496814509239136e-06
2020-01-07,27.0,22.0,43741.0,16943.0,1.9115869782695047e-06,5.646638979313537e-06
2020-01-08,36.0,11.0,32164.0,30862.0,2.774720446914973e-06,2.9459159294512052e-06
2020-01-09,26.0,14.0,41543.5,25031.5,2.0267804740280943e-06,3.6791903678796164e-06
2020-01-10,24.0,12.0,42936.5,26782.0,1.9841740623310088e-06,3.422645362600754e-06
2020-01-11,26.0,16.0,41873.5,21391.5,1.98998623618366e-06,4.3706747393029095e-06
2020-01-12,29.0,19.0,40422.0,18815.5,2.0870228058337613e-06,5.015013366330361e-06
2020-01-13,22.0,15.0,49748.0,23991.0,1.5608498004169742e-06,3.876967787308514e-06
2020-01-14,34.0,22.0,34003.0,16037.0,2.531358506403183e-06,6.001876950610009e-06
2020-01-15,17.0,12.0,59844.5,28741.5,1.2614971552126064e-06,3.17595421544403e-06
2020-01-16,29.0,13.0,37915.5,26227.0,2.2332139128610714e-06,3.4976653084066384e-06
2020-01-17,17.0,12.0,56348.0,27901.0,1.375042858872638e-06,3.2884018887484318e-06
2020-01-18,51.0,23.0,23391.0,15025.5,4.051400998296982e-06,6.324135016433128e-06
2020-01-19,80.0,22.0,16709.5,16190.5,6.007722175891837e-06,5.927835607107368e-06
2020-01-20,128.0,51.0,10878.5,7267.0,9.67685796050844e-06,1.3656066345990096e-05
2020-01-21,513.0,131.0,2535.5,2778.5,4.011703539018509e-05,3.533074295158421e-05
2020-01-22,946.0,188.0,1376.0,1972.0,7.32755705986498e-05,4.9585224868994783e-05
2020-01-23,3049.0,1119.0,307.0,263.0,0.00023838038316304264,0.000282604660325109
2020-01-24,2272.0,803.0,792.0,489.0,0.00013560837066542645,0.00018538599650052187
2020-01-25,2332.0,824.0,687.0,369.5,0.00014980872085900782,0.0002255900727226833
2020-01-26,2319.0,692.0,577.0,518.0,0.00015796847769340683,0.00017154397760409088
2020-01-27,1530.0,642.0,842.5,533.5,0.00011217194654398232,0.00016318554450593415
2020-01-28,1492.0,559.0,915.5,703.0,0.00010427925144830742,0.00013286740213567117
2020-01-29,1456.0,618.0,959.0,609.0,0.0001011413481599881,0.00015013844076127475
2020-01-30,1754.0,759.0,777.0,472.0,0.00011984973276037783,0.0001768036829208807
2020-01-31,2699.0,790.0,435.5,411.5,0.00019626681466304355,0.00019501579134199003
2020-02-01,2672.0,491.0,420.0,774.0,0.00019306541124052543,0.00011984738619197012
2020-02-02,1643.0,481.0,737.0,731.0,0.00012428646858494977,0.0001251556639833223
2020-02-03,966.0,318.0,1395.5,1169.0,7.231967993675395e-05,8.322019225434603e-05
2020-02-04,994.0,265.0,1368.0,1406.0,7.38704088593361e-05,7.026924256916018e-05
2020-02-05,1011.0,319.0,1522.0,1249.0,6.856205832657715e-05,7.832116736349592e-05
2020-02-06,588.0,204.0,2576.5,1882.5,4.200321924673226e-05,5.385477426533772e-05
2020-02-07,421.0,172.0,3563.0,2384.0,3.0344463721067346e-05,4.3862769714593625e-05
2020-02-08,429.0,122.0,4043.0,3832.5,2.6362986367140536e-05,2.7116064312192137e-05
2020-02-09,507.0,135.0,3093.5,3258.5,3.3717656985952704e-05,3.161115007217879e-05
